Probe_ID,M,U,col
cg00071297,NA,9709537,NA
cg00072253,NA,41788139,NA
cg00072466,NA,76687828,NA
cg00072485,NA,14757876,NA
cg00073460,NA,8757527,NA
cg00073543,NA,29697869,NA
cg00075117,NA,81690483,NA
cg00075753,NA,66652892,NA
cg00075967,NA,98725151,NA
cg00077617,57767889,19796952,R
cg00077667,NA,91768566,NA
cg00078463,NA,58686575,NA
cg00079056,NA,22624949,NA
cg00079224,NA,5674238,NA
cg00080164,NA,98667472,NA
cg00080475,NA,90794443,NA
cg00082691,NA,88793555,NA
cg00083068,NA,2687161,NA
cg00083847,NA,20696599,NA
cg00083937,NA,16626834,NA
cg00084503,NA,25706223,NA
cg00084577,NA,60788298,NA
cg00087116,NA,92611378,NA
cg00087778,NA,3706121,NA
cg00090184,NA,97730391,NA
cg00090384,NA,87678116,NA
cg00090461,NA,90754900,NA
cg00091093,NA,55777597,NA
cg00091349,NA,97685107,NA
cg00091693,NA,99799534,NA
cg00091964,NA,90672552,NA
cg00092013,NA,49792861,NA
cg00092621,NA,5755267,NA
cg00092936,NA,81731223,NA
cg00095474,NA,21715185,NA
cg00096766,NA,92784520,NA
cg00096813,NA,92643242,NA
cg00096922,NA,52712546,NA
cg00098422,NA,9666356,NA
cg00100281,NA,93675357,NA
cg00101175,NA,97668854,NA
cg00101279,NA,80704547,NA
cg00101491,NA,22738125,NA
cg00101675,NA,96700839,NA
cg00102584,NA,28782255,NA
cg00103299,NA,74726166,NA
cg00103439,NA,26758847,NA
cg00103598,NA,69801892,NA
cg00103762,NA,87647411,NA
cg00104779,NA,66633867,NA
cg00106630,NA,41789554,NA
cg00106809,NA,69700888,NA
cg00106940,3805551,7611261,R
cg00107682,NA,90752362,NA
cg00109076,77757977,20637271,R
cg00109300,NA,90607988,NA
cg00109303,NA,77672215,NA
cg00109643,NA,62758937,NA
cg00109797,NA,75757981,NA
cg00110098,NA,7762441,NA
cg00110825,NA,1731387,NA
cg00111333,NA,87603876,NA
cg00112642,NA,2627295,NA
cg00113096,NA,8697115,NA
cg00113533,NA,64724210,NA
cg00113951,NA,26632917,NA
cg00114412,NA,53653121,NA
cg00114602,NA,45712187,NA
cg00115173,NA,74771298,NA
cg00115203,NA,65691820,NA
cg00115348,3753162,58775188,R
cg00116110,NA,21672848,NA
cg00116234,NA,41643962,NA
cg00116289,NA,2653481,NA
cg00116653,NA,47784125,NA
cg00117744,NA,11629841,NA
cg00117839,NA,48787563,NA
cg00117955,NA,89740888,NA
cg00119476,NA,13637868,NA
cg00120227,NA,5746385,NA
cg00122272,NA,70670981,NA
cg00122769,NA,65640582,NA
cg00122911,NA,31637866,NA
cg00124810,NA,95753430,NA
cg00126993,NA,89796438,NA
cg00127523,NA,87797112,NA
cg00128439,NA,49768584,NA
cg00130134,NA,9740593,NA
cg00130771,NA,59710533,NA
cg00131490,NA,61762236,NA
cg00133237,NA,95792863,NA
cg00133606,NA,74723594,NA
cg00134217,NA,49799918,NA
cg00134706,NA,97748352,NA
cg00137175,NA,67683211,NA
cg00138195,3750952,38750255,G
cg00139115,NA,51661104,NA
cg00140840,NA,60742886,NA
cg00141625,NA,63749588,NA
cg00143077,NA,81787504,NA
cg00143530,NA,99758568,NA
cg00143792,58753575,9750276,R
cg00145315,NA,81747567,NA
cg00146111,NA,85719536,NA
cg00146174,NA,90805825,NA
cg00146253,NA,75630885,NA
cg00146676,NA,75745211,NA
cg00147440,NA,58737958,NA
cg00147638,NA,17706218,NA
cg00149071,96770455,2616284,R
cg00149213,NA,3643964,NA
cg00149440,92766906,90649848,R
cg00149689,NA,5755963,NA
cg00152260,NA,75754951,NA
cg00152482,NA,59707963,NA
cg00153046,NA,99637433,NA
cg00153387,NA,52734150,NA
cg00154486,NA,63623833,NA
cg00156720,NA,71632191,NA
cg00156769,NA,19675855,NA
cg00157812,NA,97603326,NA
cg00158333,NA,76753914,NA
cg00159243,46745925,75655526,R
cg00159476,NA,76653210,NA
cg00159753,NA,26652931,NA
cg00160892,NA,41771563,NA
cg00162326,NA,22746929,NA
cg00162625,NA,34725119,NA
cg00164295,NA,46688267,NA
cg00165325,NA,60665548,NA
cg00166579,9629839,68744250,G
cg00166917,NA,62778939,NA
cg00167250,NA,97672301,NA
cg00167491,NA,80784854,NA
cg00167853,NA,41750826,NA
cg00168042,NA,6630279,NA
cg00168721,NA,97690943,NA
cg00168727,NA,72725830,NA
cg00168942,NA,26607168,NA
cg00169860,NA,5717111,NA
cg00170518,NA,64607281,NA
cg00174373,NA,15772880,NA
cg00174687,NA,90761387,NA
cg00175324,NA,66799848,NA
cg00176482,NA,23784176,NA
cg00177385,NA,44779839,NA
cg00178703,NA,91704850,NA
cg00179574,NA,71645132,NA
cg00179765,NA,58801542,NA
cg00180385,NA,77657563,NA
cg00180589,NA,18764228,NA
cg00180801,NA,67697261,NA
cg00180917,NA,96803892,NA
cg00181100,NA,99712866,NA
cg00181698,NA,90710285,NA
cg00183899,NA,85783254,NA
cg00184699,NA,51784583,NA
cg00185982,NA,30640988,NA
cg00186529,84782329,20620553,R
cg00187380,NA,51623941,NA
cg00187832,NA,13614826,NA
cg00189226,NA,5770559,NA
cg00190744,NA,87615841,NA
cg00190912,NA,43690855,NA
cg00190934,NA,5795234,NA
cg00191058,NA,93665538,NA
cg00192066,NA,99614504,NA
cg00192998,NA,3753116,NA
cg00193075,NA,3772993,NA
cg00193158,97655341,58690987,R
cg00193345,NA,45646584,NA
cg00194126,NA,2799362,NA
cg00194146,NA,75737355,NA
cg00194417,NA,70767880,NA
cg00194857,NA,75776192,NA
cg00195533,NA,68602951,NA
cg00195577,7624118,2717444,R
cg00196544,NA,88789278,NA
cg00197024,NA,63718988,NA
cg00197058,NA,27764988,NA
cg00197325,NA,89762944,NA
cg00197456,NA,73731904,NA
cg00199273,NA,90624830,NA
cg00199899,NA,97753510,NA
cg00200794,NA,97713397,NA
cg00200899,NA,26689114,NA
cg00201390,NA,22802936,NA
cg00202143,NA,41790150,NA
cg00202194,NA,85764429,NA
cg00203745,NA,3603267,NA
cg00204390,NA,21770177,NA
cg00204462,NA,93657993,NA
cg00205229,NA,99602904,NA
cg00205619,NA,55764935,NA
cg00206304,68606224,60789205,G
cg00207040,NA,81805990,NA
cg00207813,NA,68770593,NA
cg00207962,NA,28695820,NA
cg00208586,NA,48741946,NA
cg00209445,NA,66733889,NA
cg00211337,NA,2795441,NA
cg00211372,NA,46607943,NA
cg00211423,NA,4723958,NA
cg00211803,NA,15771880,NA
cg00213533,NA,96754315,NA
cg00214262,2753117,41784282,R
cg00215378,NA,93640925,NA
cg00216013,68810189,9695542,R
cg00216659,NA,48745267,NA
cg00217702,NA,81805552,NA
cg00218407,NA,16741249,NA
cg00218447,NA,93642905,NA
cg00219921,NA,79725174,NA
cg00220188,NA,67722522,NA
cg00220465,NA,6749834,NA
cg00220722,NA,93712232,NA
cg00220825,NA,76668435,NA
cg00222071,87642205,94643355,R
cg00222474,90717535,13779247,R
cg00223609,NA,76749963,NA
cg00225449,NA,20698877,NA
cg00227334,NA,49760537,NA
cg00228489,NA,44665267,NA
cg00230271,NA,91784111,NA
cg00232174,NA,97750448,NA
cg00234132,NA,68809988,NA
cg00234378,NA,75713190,NA
cg00235789,NA,2732879,NA
cg00236075,NA,68794559,NA
cg00236139,NA,75666117,NA
cg00236396,NA,51611166,NA
cg00238638,NA,33765896,NA
cg00238826,NA,86684377,NA
cg00239815,NA,89615125,NA
cg00240737,NA,9632299,NA
cg00240849,NA,98653564,NA
cg00242883,NA,26752166,NA
cg00243488,NA,55681543,NA
cg00244134,NA,14784104,NA
cg00244213,81622301,41706171,G
cg00246701,NA,74767868,NA
cg00246767,NA,71740599,NA
cg00247020,NA,87771988,NA
cg00247437,NA,95749820,NA
cg00247864,NA,61740550,NA
cg00247972,NA,6697577,NA
cg00249321,NA,42753228,NA
cg00249744,NA,13625566,NA
cg00249943,NA,26805933,NA
cg00250171,NA,55689841,NA
cg00250365,NA,94806559,NA
cg00250826,NA,93641175,NA
cg00251344,NA,43707870,NA
cg00251385,NA,41629947,NA
cg00251628,NA,60769129,NA
cg00251636,NA,96653142,NA
cg00252404,NA,76776239,NA
cg00252955,NA,90664497,NA
cg00253748,NA,58699585,NA
cg00253867,NA,13783597,NA
cg00256784,NA,50780254,NA
cg00256932,NA,76637820,NA
cg00257455,NA,78717265,NA
cg00257941,NA,2784567,NA
cg00257950,NA,87775990,NA
cg00258173,NA,63736946,NA
cg00258262,NA,34632821,NA
cg00259292,NA,65784252,NA
cg00259935,NA,93654126,NA
cg00259969,NA,13603847,NA
cg00261096,NA,72716126,NA
cg00261570,NA,78603349,NA
cg00261781,50671267,63799552,G
cg00262856,NA,13627540,NA
cg00263654,9630154,51754877,R
cg00264131,NA,88712931,NA
cg00264579,96723851,5759118,R
cg00264615,NA,97802878,NA
cg00265484,NA,73617898,NA
cg00266822,NA,3632553,NA
cg00267231,NA,52675195,NA
cg00267482,NA,97784299,NA
cg00267853,NA,59695974,NA
cg00269503,NA,81707870,NA
cg00270194,NA,24710573,NA
cg00271154,NA,60661820,NA
cg00271378,NA,43604855,NA
cg00271426,NA,55748277,NA
cg00271703,NA,95780196,NA
cg00272971,NA,10781267,NA
cg00273046,NA,79750579,NA
cg00273076,NA,94799593,NA
cg00274492,NA,58711972,NA
cg00279054,NA,82712233,NA
cg00279752,NA,66801180,NA
cg00280963,NA,3776205,NA
cg00281024,NA,53692959,NA
cg00281640,NA,96788879,NA
cg00281833,NA,45633954,NA
cg00282490,NA,75623211,NA
cg00282704,NA,76624890,NA
cg00282792,NA,98764834,NA
cg00284078,NA,60769881,NA
cg00286137,NA,93647135,NA
cg00286320,NA,30702185,NA
cg00286916,NA,58786531,NA
cg00287915,NA,6753579,NA
cg00289591,NA,13725161,NA
cg00290109,NA,31702211,NA
cg00290302,NA,43653191,NA
cg00290812,NA,75703992,NA
cg00292639,NA,4635593,NA
cg00293511,NA,26711879,NA
cg00294442,NA,5616881,NA
cg00295657,NA,26614214,NA
cg00295725,NA,42719233,NA
cg00296110,NA,90734494,NA
cg00296428,NA,93801836,NA
cg00297075,NA,88762494,NA
cg00297600,NA,25603223,NA
cg00297805,NA,15690569,NA
cg00297951,NA,48707100,NA
cg00298032,NA,9762575,NA
cg00298301,NA,34737945,NA
cg00298697,76805291,73626244,G
cg00299517,NA,96798585,NA
cg00300211,NA,51760239,NA
cg00300224,NA,61760289,NA
cg00300233,NA,96701440,NA
cg00301020,NA,93776162,NA
cg00301226,NA,94694260,NA
cg00301801,NA,1632935,NA
cg00304629,76640392,9718499,G
cg00304877,NA,37774980,NA
cg00306239,NA,58787949,NA
cg00307913,NA,35745195,NA
cg00308441,NA,3804267,NA
cg00308763,NA,48621267,NA
cg00309259,NA,4683428,NA
cg00309562,NA,43781526,NA
cg00309578,NA,58741850,NA
cg00310182,NA,41603271,NA
cg00310215,NA,90730955,NA
cg00311846,NA,16700861,NA
cg00311934,NA,80784343,NA
cg00312241,NA,4740154,NA
cg00314427,NA,87712848,NA
cg00315292,NA,78795176,NA
cg00316483,61730534,5763822,R
cg00317287,NA,75621905,NA
cg00318947,NA,49628598,NA
cg00319727,NA,51636553,NA
cg00320782,NA,9671188,NA
cg00321644,NA,89690171,NA
cg00323008,60802254,51741828,R
cg00323590,51776824,69719526,R
cg00323965,NA,72698821,NA
cg00324097,NA,11686868,NA
cg00324161,NA,50615189,NA
cg00324422,NA,97705526,NA
cg00324754,NA,16706593,NA
cg00324991,NA,97755184,NA
cg00325115,NA,26776923,NA
cg00325217,NA,2774342,NA
cg00325478,NA,15699279,NA
cg00325725,NA,65746834,NA
cg00328865,NA,58720230,NA
cg00330845,NA,41791963,NA
cg00331096,NA,9660162,NA
cg00331190,NA,2674541,NA
cg00331900,9711875,83639471,G
cg00332221,NA,69740292,NA
cg00332561,NA,2735826,NA
cg00334236,NA,10664553,NA
cg00335286,NA,41770557,NA
cg00338702,NA,58775582,NA
cg00339654,NA,26755889,NA
cg00339708,NA,96789362,NA
cg00340124,NA,87652830,NA
cg00343067,NA,71614108,NA
cg00343092,NA,79611988,NA
cg00343217,NA,65712125,NA
cg00345769,NA,75806373,NA
cg00345983,NA,87694877,NA
cg00347775,NA,90710415,NA
cg00349017,NA,70704548,NA
cg00349375,NA,82799473,NA
cg00350004,NA,3807836,NA
cg00350220,NA,40695988,NA
cg00350702.1,NA,60666145,NA
cg00350702.2,NA,75607464,NA
cg00351264,NA,8725588,NA
cg00356067,NA,31799535,NA
cg00359086,NA,9711125,NA
cg00359760,NA,71672534,NA
cg00360105,97773130,61713218,G
cg00360524,NA,13749229,NA
cg00362487,NA,66663252,NA
cg00362836,NA,57775913,NA
cg00363312,NA,76767329,NA
cg00364500,NA,97640330,NA
cg00366136,NA,97779303,NA
cg00366435,NA,9641495,NA
cg00366950,NA,53637847,NA
cg00367497,NA,93774852,NA
cg00367518,NA,90621324,NA
cg00369613,NA,90603412,NA
cg00369852,NA,50764963,NA
cg00370355,NA,79784527,NA
cg00370791,NA,75605378,NA
cg00370841,NA,38737898,NA
cg00371107,NA,52603234,NA
cg00372284,NA,90753467,NA
cg00373808,NA,97766179,NA
cg00374382,NA,78603139,NA
cg00374717,NA,86712935,NA
cg00376184,NA,23716841,NA
cg00379717,NA,39630542,NA
cg00379872,NA,24741591,NA
cg00380167,NA,35699555,NA
cg00381965,NA,7797989,NA
cg00382005,NA,61707222,NA
cg00383161,NA,93715337,NA
cg00383766,NA,3666166,NA
cg00384342,NA,70610118,NA
cg00385093,NA,58805236,NA
cg00386499,NA,75727327,NA
cg00386797,NA,93608419,NA
cg00386839,NA,11787526,NA
cg00388556,NA,10657244,NA
cg00389116,NA,51644579,NA
cg00389526,NA,80623936,NA
cg00391579,NA,46605599,NA
cg00393155,NA,68614166,NA
cg00393367,NA,8637235,NA
cg00396618,NA,63749114,NA
cg00398876,NA,3802937,NA
cg00399596,NA,96644570,NA
cg00399624,NA,16706281,NA
cg00400141,NA,19796140,NA
cg00401084,NA,43803205,NA
cg00401116,NA,26675822,NA
cg00401433,23771979,12614584,R
cg00402434,NA,85773880,NA
cg00403457,NA,63785244,NA
cg00403869,NA,8752267,NA
cg00405803,NA,49787295,NA
cg00407148,49710566,28725837,R
cg00409684,NA,97730532,NA
cg00410898.1,NA,86747538,NA
cg00410898.2,NA,29744599,NA
cg00411555,23743584,78687306,R
cg00411965,NA,19646923,NA
cg00412772,NA,59717959,NA
cg00412805,NA,71616279,NA
cg00414520,97698111,90658853,R
cg00416783,NA,44607102,NA
cg00418090,2748263,59753820,G
cg00418401,NA,12664189,NA
cg00419202,NA,79744448,NA
cg00419757,NA,80807325,NA
cg00422594,NA,55725114,NA
cg00422680,NA,85767252,NA
cg00422730,NA,93767385,NA
cg00423854,NA,29750181,NA
cg00424048,NA,20600520,NA
cg00424298,NA,72609990,NA
cg00424367,NA,34755291,NA
cg00424624,NA,63653227,NA
cg00426154,NA,93738585,NA
cg00426659,NA,17640821,NA
cg00427623,NA,92768205,NA
cg00427871,NA,3618522,NA
cg00428557,NA,30653258,NA
cg00431549,NA,3776875,NA
cg00431974,48775108,96674868,R
cg00433042,NA,10746130,NA
cg00434962,76777894,69738199,R
cg00436603,NA,75648498,NA
cg00436746,NA,58604579,NA
cg00437193,NA,76768181,NA
cg00437358,NA,67614205,NA
cg00438646,NA,70688169,NA
cg00438946,NA,89724385,NA
cg00439117,NA,89731455,NA
cg00439253,NA,90684467,NA
cg00439445,NA,90620252,NA
cg00439981,NA,34719551,NA
cg00440980,NA,5687592,NA
cg00441553,NA,76801263,NA
cg00442423,NA,26779833,NA
cg00443041,NA,52769273,NA
cg00443833,NA,71782271,NA
cg00444649,NA,52706256,NA
cg00444928,NA,79757913,NA
cg00445879,95787933,69781932,G
cg00445959,NA,44755233,NA
cg00447136,NA,40628223,NA
cg00449321,NA,2784441,NA
cg00449726,NA,19629830,NA
cg00450713,NA,23692538,NA
cg00450884,NA,51725176,NA
cg00450891,NA,78713117,NA
cg00450910,NA,48772828,NA
cg00451044,NA,66707102,NA
cg00452125,NA,76772329,NA
cg00453591,NA,50647859,NA
cg00454274,NA,7674311,NA
cg00454305,NA,14670882,NA
cg00455143,NA,64762110,NA
cg00455362,NA,99665222,NA
cg00455875,NA,17753539,NA
cg00456768,NA,81713848,NA
cg00457583,NA,5675214,NA
cg00458124,NA,61762112,NA
cg00458681,NA,27668929,NA
cg00458823,NA,52730124,NA
cg00459263,NA,17615205,NA
cg00462525,NA,85780584,NA
cg00462994,NA,96802989,NA
cg00463693,NA,76608538,NA
cg00464569,NA,87716456,NA
cg00464610,NA,82603405,NA
cg00464803,NA,76667466,NA
cg00465284,NA,2640931,NA
cg00465985,NA,44625534,NA
cg00466720,NA,61669925,NA
cg00466950,NA,78787166,NA
cg00467357,NA,95607209,NA
cg00469450,NA,99761835,NA
cg00470694,NA,96606485,NA
cg00470955,NA,62638885,NA
cg00470976,NA,73681866,NA
cg00471170,NA,69768224,NA
cg00471663,NA,41635140,NA
cg00471664,NA,40802827,NA
cg00471897,79700830,93801266,R
cg00472347,65747100,5642314,R
cg00472898,NA,76701103,NA
cg00472926,NA,9725539,NA
cg00473176,NA,61642833,NA
cg00474060,NA,59609253,NA
cg00474657,NA,60775252,NA
cg00475260,NA,92690586,NA
cg00475509,NA,7646122,NA
cg00476429,15758534,75625426,R
cg00477261,NA,60630551,NA
cg00478851,NA,63712166,NA
cg00479641,NA,75685506,NA
cg00480149,NA,61641543,NA
cg00480381,NA,99601442,NA
cg00481760,NA,65697100,NA
cg00481951,NA,95762988,NA
cg00482994,50798180,19618171,R
cg00483633,NA,83601549,NA
cg00484915,NA,88664423,NA
cg00485323,NA,87724390,NA
cg00485681,NA,36675986,NA
cg00486031,NA,68700117,NA
cg00486113,NA,35776544,NA
cg00486998,NA,26664111,NA
cg00487538,89804338,76748459,R
cg00489376,NA,97632438,NA
cg00489428,NA,2761496,NA
cg00490620,NA,90696208,NA
cg00491561,NA,5664987,NA
cg00493297,NA,58754141,NA
cg00493831,NA,61637527,NA
cg00493843,NA,68805249,NA
cg00493887,NA,56649972,NA
cg00495443,NA,97763115,NA
cg00495518,NA,6669825,NA
cg00499875,NA,49779298,NA
cg00499973,NA,68780119,NA
cg00500341,NA,63688841,NA
cg00500681,NA,39664851,NA
cg00503840,NA,87692141,NA
cg00504333,NA,40692292,NA
cg00504554,NA,94607100,NA
cg00505361,NA,46737588,NA
cg00505445,NA,71752922,NA
cg00507817,NA,76743540,NA
cg00508255,NA,47681953,NA
cg00510450,NA,86689394,NA
cg00512700,NA,40781223,NA
cg00513357,NA,12787216,NA
cg00515235,NA,81796992,NA
cg00515905,NA,64725214,NA
cg00515954,NA,90607246,NA
cg00516349,NA,75632376,NA
cg00518702,NA,2775552,NA
cg00518708,NA,3740352,NA
cg00519119,NA,40771115,NA
cg00519284,NA,44796151,NA
cg00519301,NA,99675143,NA
cg00519323,NA,59643892,NA
cg00519918,NA,90787456,NA
cg00521920,NA,75603262,NA
cg00522231,82668943,3796446,R
cg00522402,NA,67722126,NA
cg00522519,NA,99804534,NA
cg00522668,NA,45764962,NA
cg00523349,NA,96687942,NA
cg00523361,NA,19664162,NA
cg00523855,NA,69787935,NA
cg00524115,NA,63715100,NA
cg00525251,NA,64784247,NA
cg00526068,NA,33772920,NA
cg00527415,NA,88750972,NA
cg00527510,21762219,34670100,R
cg00528052,NA,6713250,NA
cg00528541,NA,14804111,NA
cg00529649,NA,4643121,NA
cg00531009,NA,78706223,NA
cg00531909,NA,2688504,NA
cg00532890,NA,14706239,NA
cg00533774,NA,41623250,NA
cg00535482,10804879,41655837,R
cg00538388,NA,79672175,NA
cg00539598,NA,82777317,NA
cg00540391,NA,2669953,NA
cg00540706,NA,71653820,NA
cg00542313,NA,93716489,NA
cg00542737,NA,66764949,NA
cg00543023,NA,82697323,NA
cg00543458,NA,59745594,NA
cg00545236,NA,45624926,NA
cg00545696,NA,79750505,NA
cg00546281,NA,75682975,NA
cg00546693,NA,85692425,NA
cg00547789,NA,28771223,NA
cg00548085,NA,84781531,NA
cg00548487,NA,81803989,NA
cg00548719,NA,73759938,NA
cg00549985,81699543,2652876,G
cg00550040,NA,9663374,NA
cg00551264,NA,81750416,NA
cg00551503,NA,76637396,NA
cg00552731,NA,96798497,NA
cg00553880,NA,28675256,NA
cg00553886,NA,44709885,NA
cg00553911,NA,34677258,NA
cg00554332,NA,71770881,NA
cg00555047,NA,66796992,NA
cg00555070,NA,86699598,NA
cg00556573,NA,21772103,NA
cg00557468,NA,3746572,NA
cg00557947,14717585,85799467,R
cg00559067,NA,26653112,NA
cg00560327,NA,8626496,NA
cg00562080,NA,40741905,NA
cg00562438,NA,19611888,NA
cg00562553,NA,53701112,NA
cg00562749,NA,42701985,NA
cg00563016,NA,5601522,NA
cg00563045,NA,91637203,NA
cg00564054,NA,97744279,NA
cg00566346,NA,9753892,NA
cg00566395,NA,41624932,NA
cg00566855,NA,21626292,NA
cg00567001,NA,23619953,NA
cg00568797,NA,24740175,NA
cg00569374,NA,26664181,NA
cg00570517,NA,56635140,NA
cg00570985,NA,31608186,NA
cg00571033,NA,49773580,NA
cg00571633,NA,3697300,NA
cg00571722,NA,91704342,NA
cg00572334,NA,93730451,NA
cg00573041,NA,64624291,NA
cg00576279,NA,70638930,NA
cg00576774,NA,78607834,NA
cg00577233,NA,2750508,NA
cg00577417,NA,78629483,NA
cg00577835,NA,12735883,NA
cg00578263,NA,21784528,NA
cg00578937,NA,5740967,NA
cg00580052,NA,26690988,NA
cg00580454,NA,51680125,NA
cg00582446,NA,38629868,NA
cg00582628,NA,51605585,NA
cg00582950,NA,9745438,NA
cg00583628,NA,70611272,NA
cg00583683,NA,57805949,NA
cg00585108,NA,51685585,NA
cg00585163,NA,59661967,NA
cg00585359,NA,5713893,NA
cg00585733,NA,51643169,NA
cg00586556,NA,9717959,NA
cg00587168,NA,79669223,NA
cg00589789,NA,43614189,NA
cg00590051,NA,5708441,NA
cg00591406,NA,82746337,NA
cg00592151,NA,99653447,NA
cg00593231,90766451,97740359,R
cg00593462,NA,49769139,NA
cg00593862,NA,9703455,NA
cg00594099,NA,85805958,NA
cg00594698,NA,99715454,NA
cg00595076,NA,51746847,NA
cg00595156,NA,51749872,NA
cg00595237,NA,3640315,NA
cg00595660,NA,81651339,NA
cg00597118,NA,75802438,NA
cg00597234,NA,81617585,NA
cg00597285,NA,44753544,NA
cg00597719,NA,81643253,NA
cg00597759,NA,2754571,NA
cg00598343,NA,8689931,NA
cg00598724,NA,51716568,NA
cg00599230,75770552,9781482,G
cg00601070,NA,18623298,NA
cg00604109,NA,28675242,NA
cg00604987,NA,5773483,NA
cg00605332,NA,26675872,NA
cg00606085,NA,67757599,NA
cg00608008,NA,5723939,NA
cg00608221,NA,5707579,NA
cg00608633,NA,51703214,NA
cg00611149,NA,75715876,NA
cg00611206,NA,2640987,NA
cg00611309,NA,43640861,NA
cg00612583,NA,1652267,NA
cg00612925,NA,87725120,NA
cg00613562,NA,16745210,NA
cg00614320,NA,98737353,NA
cg00614622,NA,5808567,NA
cg00614923,NA,21762211,NA
cg00615662,91799566,2726381,G
cg00616272,NA,10602861,NA
cg00618420,NA,3705181,NA
cg00618479,NA,99809949,NA
cg00619207,NA,73716911,NA
cg00619575,NA,16611527,NA
cg00620527,NA,99657841,NA
cg00621125,NA,82672888,NA
cg00621224,NA,26741587,NA
cg00621654,NA,3737949,NA
cg00622300,NA,21619877,NA
cg00622374,NA,11758523,NA
cg00623160,NA,88724851,NA
cg00623391,NA,46762284,NA
cg00627621,NA,20616276,NA
cg00627626,NA,76683156,NA
cg00627678,NA,44704123,NA
cg00629585,NA,96758871,NA
cg00631268,NA,85741444,NA
cg00632889,NA,92647926,NA
cg00633857,NA,92741279,NA
cg00634704,62780185,7710547,G
cg00637411,NA,50614117,NA
cg00637843,NA,7672282,NA
cg00638532,NA,75799276,NA
cg00638788,NA,71654863,NA
cg00640107,NA,90783139,NA
cg00640255,92645100,76768369,R
cg00641826,NA,75726108,NA
cg00643363,NA,88776117,NA
cg00643485,NA,82647224,NA
cg00645382,60640229,99784185,R
cg00648405,NA,46731293,NA
cg00649365,NA,51654240,NA
cg00650240,NA,65675522,NA
cg00650422,NA,41782251,NA
cg00651667,NA,53607841,NA
cg00652484,NA,10617992,NA
cg00653777,NA,75638327,NA
cg00653985,NA,79684205,NA
