index,var,beta_clock2
157,cg05817746,-0.004281869
158,cg05844902,-0.011617505
159,cg05844937,0.02615092
160,cg05861987,0.011704452
161,cg05911522,-0.049101309
162,cg05916870,-0.01564845
163,cg05933505,-0.050356223
164,cg05967003,-0.047116017
165,cg06004718,-0.151476537
166,cg06102298,-0.058171016
167,cg06156376,0.080213875
168,cg06250511,0.02770522
169,cg06333141,0.016708865
170,cg06386724,-0.030213637
171,cg06391468,-0.082878805
172,cg06392591,-0.021720168
173,cg06461219,-0.163768176
174,cg06472065,-0.000451428
175,cg06482098,-0.001129016
176,cg06607996,-0.064283256
177,cg06655463,0.005919804
178,cg06679868,-0.087059824
179,cg06721611,0.020903307
180,cg06736685,-0.098155659
181,cg06779064,-0.017574281
182,cg06787049,0.000206946
183,cg06790494,-0.083262743
184,cg06796779,-0.00147491
185,cg06828322,-0.019052189
186,cg06878766,0.336647664
187,cg06997801,0.002219338
188,cg07005811,-0.084248283
189,cg07014363,0.02341228
190,cg07026794,-0.000529793
191,cg07056567,-0.007320518
192,cg07081182,0.023517985
193,cg07225115,-0.0528051
194,cg07279255,0.063714372
195,cg07292994,-0.175028628
196,cg07293320,-0.092995293
197,cg07299823,-0.011704022
198,cg07323940,-0.079425248
199,cg07332354,0.210602177
200,cg07383477,-0.053446914
201,cg07423797,0.098045953
202,cg07459759,-0.011710047
203,cg07493901,-0.515118624
204,cg07547549,0.077740052
205,cg07564343,-0.154170596
206,cg07601141,0.046554901
207,cg07776022,-0.052318123
208,cg07782608,0.008144109
209,cg07843244,-0.004851531
210,cg07875786,0.182469108
211,cg07878283,-0.006931351
212,cg07881279,-0.2624794
213,cg07906193,-0.021631513
214,cg07932605,0.036464469
215,cg07991826,0.210256274
216,cg08007722,-0.085549848
217,cg08030321,0.020570823
218,cg08040307,0.135160024
219,cg08074329,0.441754784
220,cg08092317,0.011262183
221,cg08247363,-0.004480792
222,cg08321639,0.017637495
223,cg08378313,-0.018045646
224,cg08402704,0.05650356
225,cg08438614,-0.034360159
226,cg08446005,0.057680024
227,cg08454381,-0.00875913
228,cg08508546,-0.000163097
229,cg08510667,0.038626174
230,cg08538268,0.152393805
231,cg08563010,-0.207356586
232,cg08570512,-0.056245727
233,cg08587692,-0.03684907
234,cg08627730,-5.13E-05
235,cg08651129,-0.234631469
236,cg08666298,-0.063007641
237,cg08676748,0.05085596
238,cg08681110,0.647719215
239,cg08747377,-0.012083729
240,cg08909367,0.031481533
241,cg08912313,-0.029800205
242,cg08933909,-0.004387621
243,cg08938156,0.210579727
244,cg08965235,-0.021251602
245,cg08981150,0.003965209
246,cg09008979,-0.050057058
247,cg09009312,-0.002539866
248,cg09023627,0.052520774
249,cg09061197,0.015308707
250,cg09169719,-0.005659556
251,cg09191327,-0.002738114
252,cg09200783,0.307782124
253,cg09227056,0.615234523
254,cg09313705,-0.003322833
255,cg09316860,0.011680446
256,cg09337540,0.000524824
257,cg09360996,-0.160077529
258,cg09362546,-0.165298047
259,cg09363187,0.006909874
260,cg09364634,-0.018007928
261,cg09374953,-0.018098904
262,cg09377007,-0.110760228
263,cg09453226,0.057659305
264,cg09461098,-0.115723588
265,cg09474015,-0.009735386
266,cg09482204,-0.023764229
267,cg09606114,-0.030537123
268,cg09629523,-0.03430037
269,cg09646392,0.189670079
270,cg09661809,0.02218746
271,cg09661817,0.144155241
272,cg09710440,0.877027426
273,cg09750164,0.012277698
274,cg09809672,-0.203516381
275,cg09817427,0.129808607
276,cg09989727,0.068012035
277,cg10045881,0.026199335
278,cg10128645,0.023349076
279,cg10146459,-0.024673088
280,cg10183248,-0.008189102
281,cg10186512,0.071397282
282,cg10211907,-0.017281166
283,cg10233638,-0.031574468
284,cg10235290,-0.052128427
285,cg10246778,0.012722939
286,cg10278760,-0.052540725
287,cg10381180,-0.017842965
288,cg10439738,0.110012017
289,cg10466667,-0.068272379
290,cg10491556,-0.007637685
291,cg10501210,-0.363250509
292,cg10559644,0.024059405
293,cg10609096,0.105603585
294,cg10644072,-0.144604457
295,cg10677704,-0.117856204
296,cg10681713,-0.000420184
297,cg10710448,-0.040461867
298,cg10711876,-0.016546049
299,cg10718271,-0.012586215
300,cg10739250,0.002172333
301,cg10757510,-0.019746063
302,cg10792727,-0.209564457
303,cg10801485,0.019371181
304,cg10893516,0.00795034
305,cg10916192,-0.065824821
306,cg10932472,-0.269568327
307,cg11082761,0.000171456
308,cg11084334,0.260997206
309,cg11108049,-0.031405424
310,cg11128281,0.124176363
311,cg11156581,-0.054427717
312,cg11160393,-0.000238263
313,cg11215098,3.32E-06
314,cg11217865,-0.00584132
315,cg11235379,0.107546722
316,cg11251514,-0.033284821
317,cg11275232,0.23283098
318,cg11276577,-0.071035118
319,cg11327514,-0.035146833
320,cg11438204,0.449916169
321,cg11480265,-0.042846346
322,cg11488183,-0.055917172
323,cg11498355,-0.03166833
324,cg11514832,0.033804912
325,cg11516694,-0.041413538
326,cg11610869,0.028718373
327,cg11614630,0.077460709
328,cg11664765,0.098578016
329,cg11666770,0.00254153
330,cg11677981,0.061204522
331,cg11690941,0.115009097
332,cg11700079,0.150266491
333,cg11728741,0.201558694
334,cg11765970,-0.02297533
335,cg11803466,-0.166794264
336,cg11857072,-0.075030998
337,cg11904056,0.210083826
338,cg11948733,-0.09410502
339,cg11978813,-0.04369953
340,cg12156848,0.145222051
341,cg12201500,-0.000199577
342,cg12289045,0.025611486
343,cg12289788,0.150183514
344,cg12307242,0.060451006
345,cg12314723,-0.045197069
346,cg12325485,-0.049589466
347,cg12338698,-0.176506002
348,cg12373771,0.199846017
349,cg12382554,-0.04842871
350,cg12421693,0.008043911
351,cg12425327,0.004379692
352,cg12428891,0.013994006
353,cg12449245,0.124086526
354,cg12459916,0.000668363
355,cg12460432,-0.04552461
356,cg12492738,0.016728417
357,cg12501063,-0.162721611
358,cg12564910,0.022099875
359,cg12577973,0.009197342
360,cg12642246,0.085836748
361,cg12651099,0.113960561
362,cg12685265,0.178520639
363,cg12713245,-0.089356963
364,cg12721805,0.036616803
365,cg12722365,0.052229921
366,cg12733826,0.006594614
367,cg12761282,0.00805726
368,cg12813831,0.072547899
369,cg12815291,0.033550484
370,cg12818872,0.07716034
371,cg12830057,0.11119714
372,cg12841266,0.468898146
373,cg12879445,0.153740653
374,cg12880090,-0.103886945
375,cg12896068,0.069144007
376,cg12923877,0.406170665
377,cg12933950,-0.001822566
378,cg12942661,0.015511967
379,cg12965599,-0.05713607
380,cg12973326,-0.000286563
381,cg12981876,-0.021387704
382,cg13006563,0.106674583
383,cg13058338,0.302281469
384,cg13068315,-0.076510871
385,cg13087210,0.019254469
386,cg13151063,0.076046679
387,cg13153497,-0.038621079
388,cg13160087,0.076054887
389,cg13188467,-0.033961321
390,cg13242392,-0.658760922
391,cg13275239,-0.028503594
392,cg13343102,-0.006973368
393,cg13379618,0.000205347
394,cg13383038,-0.007110823
395,cg13400013,0.000642869
396,cg13532184,0.050780143
397,cg13589316,-0.024016947
398,cg13608832,-0.002692195
399,cg13609316,-0.021146231
400,cg13655781,-0.057980838
401,cg13702222,-0.121683963
402,cg13761591,0.134534113
403,cg13802785,0.175239887
404,cg13830021,-0.03237669
405,cg13851328,-0.011317945
406,cg13884903,-0.020089975
407,cg13916600,0.284185935
408,cg13935553,-0.02827456
409,cg13935834,0.037263243
410,cg13953571,0.079719791
411,cg14002724,0.003765222
412,cg14045036,-0.005173044
413,cg14056866,-0.004776292
414,cg14136214,-0.035231071
415,cg14155184,-0.001737025
416,cg14172937,-0.105931544
417,cg14237002,-0.207969983
418,cg14297772,-0.064508803
419,cg14299268,0.047005762
420,cg14322760,0.004394268
421,cg14334315,-0.058145483
422,cg14361627,0.008237039
423,cg14361875,-0.032572695
424,cg14381350,0.028072859
425,cg14443903,-0.103686704
426,cg14498322,-0.054456262
427,cg14517144,0.126461345
428,cg14548925,-0.057645196
429,cg14551953,0.002009695
430,cg14565725,-0.011076916
431,cg14640670,-0.004702758
432,cg14656600,-0.001148008
433,cg14666740,0.061125706
434,cg14668921,0.004469061
435,cg14676280,-0.138291862
436,cg14701342,0.025217848
437,cg14728312,0.063525432
438,cg14738500,0.023315556
439,cg14762358,-0.047473356
440,cg14794469,-0.08514724
441,cg14821110,-0.007301303
442,cg14865782,-0.022718582
443,cg14903956,-0.111425701
444,cg14919591,-0.290249893
445,cg14991111,0.040279155
446,cg15006148,-0.000973121
447,cg15009537,0.02664257
448,cg15030317,-0.012323883
449,cg15094970,0.004329447
450,cg15168457,0.230283185
451,cg15171944,0.00085034
452,cg15237969,-0.031452126
453,cg15254020,0.027396999
454,cg15298634,-2.91E-05
455,cg15330117,-0.0685643
456,cg15340018,0.127472117
457,cg15343536,0.107842832
458,cg15391310,2.20E-05
459,cg15405572,-0.019221447
460,cg15408728,-0.096953158
461,cg15426572,-0.000552955
462,cg15437942,0.049477061
463,cg15471501,0.092334243
464,cg15511156,-0.013374007
465,cg15571405,-0.019370151
466,cg15701287,-0.072684111
467,cg15726426,0.020989726
468,cg15746205,-0.051515946
469,cg15804249,0.053462226
470,cg15809488,-0.225806446
471,cg15809618,-0.005317382
472,cg15813523,-0.00869009
473,cg15828158,-0.001222767
474,cg15913680,0.026140797
475,cg15991909,-0.050439903
476,cg16011662,-0.006363724
477,cg16095149,-0.00199108
478,cg16100840,0.013465617
479,cg16118197,0.003204089
480,cg16154416,-0.002024283
481,cg16159306,-0.036606141
482,cg16278638,-0.030811809
483,cg16286672,-0.034146123
484,cg16296826,-0.023985575
485,cg16356803,0.122298339
486,cg16376499,-0.248883104
487,cg16378867,-0.033135839
488,cg16391501,0.030968394
489,cg16437032,0.002837008
490,cg16454989,-0.008665484
491,cg16486681,-0.041432956
492,cg16542942,0.014174841
493,cg16550733,1.61E-05
494,cg16571746,0.022568122
495,cg16582309,0.108058328
496,cg16591739,-0.013488214
497,cg16599143,0.003493221
498,cg16624401,-0.025830837
499,cg16671155,-0.070003096
500,cg16717607,-0.011711195
501,cg16745091,0.094461788
502,cg16756969,-0.008034885
503,cg16764906,0.020814855
504,cg16848873,-0.018308559
505,cg16853731,-0.005511473
506,cg16867657,0.10393954
507,cg16886381,-0.025650263
508,cg17114460,0.01664183
509,cg17116410,0.058502155
510,cg17139066,-0.087614936
511,cg17213306,0.009828545
512,cg17251355,0.02076741
513,cg17266282,0.003965565
514,cg17267107,0.08512332
515,cg17311369,-0.017594667
516,cg17318138,-0.001754638
517,cg17356452,9.48E-05
518,cg17357006,0.015169366
519,cg17425418,-0.137266488
520,cg17437489,-0.073398172
521,cg17458251,-0.006390369
522,cg17504468,-0.004365077
523,cg17516812,-0.014273643
524,cg17604804,-0.043960398
525,cg17656607,0.015765194
526,cg17668518,0.030026861
527,cg17708456,0.055027367
528,cg17718834,0.032029928
529,cg17769560,-0.000220138
530,cg17776554,0.108330274
531,cg17783618,0.000174391
532,cg17818266,-0.016972799
533,cg17819031,0.001732605
534,cg17829569,0.037276802
535,cg17856858,-0.057663434
536,cg17905888,-4.58E-05
537,cg17986111,-0.21436639
538,cg18024395,-0.003985585
539,cg18060631,-0.110467548
540,cg18093751,-0.015757366
541,cg18094982,0.048230597
542,cg18168101,-0.082257755
543,cg18223258,-0.066451955
544,cg18281552,-0.030558565
545,cg18304538,0.209153012
546,cg18349747,0.021524322
547,cg18368305,-0.024403293
548,cg18419637,-0.200546657
549,cg18433728,-0.142364205
550,cg18481180,-0.015343677
551,cg18502834,-0.355206357
552,cg18526971,-0.142252854
553,cg18535797,0.013694948
554,cg18543660,0.047140321
555,cg18577444,-0.051350887
556,cg18635807,-0.025987816
557,cg18684142,-0.001517616
558,cg18691948,0.05016333
559,cg18787121,0.058768732
560,cg18814344,-0.029871407
561,cg18894136,-0.0029695
562,cg18918349,-0.325181027
563,cg18955753,-0.806855502
564,cg18961151,-0.032919858
565,cg18963985,-0.39825672
566,cg19017031,-0.310875694
567,cg19051359,0.028029867
568,cg19054310,-0.021146196
569,cg19090691,-0.029490256
570,cg19109204,-0.117021611
571,cg19134574,0.195597876
572,cg19195912,-0.136313614
573,cg19291010,-0.112876048
574,cg19291109,-0.17868243
575,cg19296119,-0.007126386
576,cg19296935,0.090043244
577,cg19319735,0.099561153
578,cg19342019,0.006902503
579,cg19361075,-0.022083948
580,cg19384462,-0.000848333
581,cg19411464,-0.036400136
582,cg19425332,-0.014870782
583,cg19513247,-0.246648979
584,cg19561061,-0.000685495
585,cg19573972,-0.004594839
586,cg19584582,-0.165340588
587,cg19591642,-0.148587686
588,cg19604874,0.20172422
589,cg19614548,0.083899511
590,cg19663246,-0.109630883
591,cg19692957,0.016905248
592,cg19707231,-0.118124274
593,cg19711579,0.086819319
594,cg19756587,0.01070489
595,cg19812206,0.103233243
596,cg19854621,-0.02281272
597,cg19891210,-0.045826303
598,cg19912994,0.113125304
599,cg19927064,0.499713498
600,cg19931377,-0.038987411
601,cg19981759,0.106598551
602,cg20023049,0.00073896
603,cg20025209,-0.006134412
604,cg20033770,0.018482233
605,cg20049544,-0.044897523
606,cg20076842,-0.052299545
607,cg20083419,-0.040762378
608,cg20100200,0.056578028
609,cg20194417,0.015584833
610,cg20212950,-0.326965365
611,cg20221627,-0.387823943
612,cg20306751,-0.329608183
613,cg20334331,5.10E-06
614,cg20345626,-0.014010139
615,cg20370622,0.250081581
616,cg20422755,-0.070184034
617,cg20424997,0.165044824
618,cg20432508,0.137178144
619,cg20452275,-0.000245457
620,cg20483513,-0.038129911
621,cg20527060,-0.003205307
622,cg20565386,0.046997436
623,cg20583171,0.003947228
624,cg20615601,-0.155652468
625,cg20635820,0.093441118
626,cg20705693,-0.130463732
627,cg20766695,0.430661937
628,cg20804050,-0.410231197
629,cg20865948,-0.016083107
630,cg20867091,-0.005345927
631,cg20884304,0.04754882
632,cg20895555,-0.232369006
633,cg21030623,0.170919872
634,cg21089733,-0.006585158
635,cg21102477,-0.03769471
636,cg21126148,0.02242612
637,cg21180487,0.027751492
638,cg21246299,-0.020862072
639,cg21278764,-0.027436899
640,cg21351544,0.108055523
641,cg21390586,-0.029650148
642,cg21509426,-0.003749767
643,cg21510166,0.00463972
644,cg21513836,-0.001136062
645,cg21590845,-0.027315258
646,cg21602520,-0.029845906
647,cg21608448,0.04109936
648,cg21617338,0.073829325
649,cg21633990,0.010667986
650,cg21703944,-0.120083957
651,cg21839725,0.028272873
652,cg21847954,-0.002589985
653,cg21907062,0.178163952
654,cg22040809,-3.89E-05
655,cg22057106,-0.129713946
656,cg22067905,0.167199443
657,cg22069272,-0.076681466
658,cg22100382,0.066634267
659,cg22122198,0.012861075
660,cg22144210,0.076098271
661,cg22146484,-0.208264358
662,cg22204849,-0.061520178
663,cg22212874,-0.007693704
664,cg22234802,-0.181007537
665,cg22267613,-0.100028464
666,cg22338839,-0.27893221
667,cg22354333,-0.310264817
668,cg22380921,-0.081145751
669,cg22409694,0.019212292
670,cg22416332,-0.080980926
671,cg22432362,0.087306049
672,cg22454769,0.059316456
673,cg22588813,0.053902284
674,cg22661680,-0.105926618
675,cg22673296,-0.009805465
676,cg22703759,-0.029280695
677,cg22710034,-0.037207149
678,cg22805522,0.062885779
679,cg22882174,0.064524491
680,cg22901671,-0.022459391
681,cg22903204,0.013940128
682,cg22914193,-0.000212958
683,cg22943590,-0.115546163
684,cg23076498,0.002058465
685,cg23087015,0.294324742
686,cg23088328,0.057521826
687,cg23089474,0.35836149
688,cg23108693,-0.01793337
689,cg23120731,-0.017842342
690,cg23148651,0.165415598
691,cg23183090,-0.033949768
692,cg23272565,0.036808152
693,cg23287176,0.016106371
694,cg23298936,0.000374762
695,cg23314464,0.002465969
696,cg23337318,0.123154136
697,cg23344477,-0.047520685
698,cg23405931,0.000649456
699,cg23415880,0.154549033
700,cg23423329,-0.045249336
701,cg23449696,0.101267265
702,cg23510032,-0.089145078
703,cg23567910,0.044408355
704,cg23573900,0.011968938
705,cg23646867,0.031537872
706,cg23752476,0.009113496
707,cg23778391,-0.118417685
708,cg23783364,0.049167972
709,cg23940242,-0.028748
710,cg23948922,-0.09690135
711,cg23985931,0.22094267
712,cg23998570,-0.044892504
713,cg24024857,-0.198250856
714,cg24055081,-0.095379443
715,cg24087602,-0.08416399
716,cg24104506,0.001033712
717,cg24352905,0.509274972
718,cg24393114,0.073844273
719,cg24434315,0.005007768
720,cg24488281,-0.121955062
721,cg24504442,0.194803463
722,cg24551749,0.028108724
723,cg24557436,0.065404134
724,cg24580312,0.000265712
725,cg24597392,0.180382833
726,cg24615318,-0.018397649
727,cg24653269,-0.10026128
728,cg24866378,-0.062429257
729,cg24866418,0.312536745
730,cg24924928,0.072277747
731,cg24927890,-0.05302626
732,cg24952195,0.065856574
733,cg24975211,-0.008658588
734,cg25047480,0.159832314
735,cg25055739,-0.042345772
736,cg25108269,-0.043015876
737,cg25139325,-0.42765557
738,cg25140691,0.0033839
739,cg25184118,-0.108871608
740,cg25184464,-0.011889066
741,cg25195795,0.076087466
742,cg25217825,0.003216797
743,cg25229850,-0.060918021
744,cg25278124,0.159114903
745,cg25368206,0.016105737
746,cg25381383,0.041631536
747,cg25410683,-0.085329616
748,cg25430089,-0.020268953
749,cg25467897,-0.140293455
750,cg25518911,-0.010182216
751,cg25615279,-0.00280266
752,cg25622623,0.18092974
753,cg25639084,5.24E-05
754,cg25649550,0.011325588
755,cg25651791,-0.010173533
756,cg25662803,0.009361139
757,cg25687751,-0.184949697
758,cg25694286,0.03906294
759,cg25699407,0.016269336
760,cg25731502,-0.046427291
761,cg25771548,-0.02646563
762,cg25805807,-0.320456857
763,cg25824158,-0.019594811
764,cg25905455,-0.048321972
765,cg25906744,0.025919774
766,cg25950871,-0.269582056
767,cg25960060,-0.125528889
768,cg26032884,0.004237064
769,cg26045960,-0.030939129
770,cg26062663,-0.024188218
771,cg26067250,0.202248114
772,cg26072749,-0.07771169
773,cg26102159,-0.050198557
774,cg26120306,-0.110019428
775,cg26234822,-0.055126606
776,cg26260350,0.07759569
777,cg26275174,-6.60E-06
778,cg26363341,0.06259674
779,cg26420776,0.038035306
780,cg26425570,-0.013206227
781,cg26474314,0.045734696
782,cg26476447,-0.242123005
783,cg26512254,0.693059678
784,cg26581729,-0.127904686
785,cg26594414,-0.024796396
786,cg26598122,-0.1126144
787,cg26603143,-0.077328235
788,cg26616379,-0.424801411
789,cg26709300,-0.065382425
790,cg26781330,0.006896698
791,cg26844246,0.208010479
792,cg26845017,-0.036741219
793,cg26845448,0.023735756
794,cg26869371,-0.053183747
795,cg26885075,-0.001695069
796,cg26917960,0.000871896
797,cg26920416,0.061176379
798,cg26957053,0.014348496
799,cg26973693,0.033974607
800,cg26989456,-0.00046464
801,cg27035369,-0.031690947
802,cg27096599,0.017054725
803,cg27201382,0.523617881
804,cg27208859,0.046076245
805,cg27228973,-0.099499472
806,cg27242082,0.013757625
807,cg27275508,-0.000925784
808,cg27291552,-0.012516233
809,cg27291660,0.025200246
810,cg27294582,-0.036941452
811,cg27299745,-0.022374323
812,cg27300575,-0.06230598
813,cg27430422,0.21164923
814,cg27492942,-0.026234893
815,cg27547112,0.02947715
816,cg27593991,-0.088300422
817,cg27637521,0.008219951
