index,var,beta_clock1
149,cg12382554,-0.107814003
150,cg12449245,0.049296508
151,cg12509499,-0.062262881
152,cg12651099,0.248216038
153,cg12791299,0.034068233
154,cg12815291,0.067443521
155,cg12830057,0.109563898
156,cg12841266,0.123459106
157,cg12850734,0.024257219
158,cg12965599,-0.015643746
159,cg12969847,0.009161422
160,cg13058338,0.6386603
161,cg13084522,-0.082187142
162,cg13188467,-0.001406524
163,cg13242392,-0.842267016
164,cg13285426,0.033466868
165,cg13400013,0.018753985
166,cg13401299,0.013469508
167,cg13608832,-0.162165048
168,cg13609316,-0.000422564
169,cg13935553,-0.063401019
170,cg14241460,-0.196790456
171,cg14361875,-0.165076507
172,cg14381350,0.151545604
173,cg14384416,0.080662786
174,cg14443903,-0.289068334
175,cg14458704,0.002518394
176,cg14701342,0.018228068
177,cg14762358,-0.026945903
178,cg14811158,0.035665341
179,cg14903956,-0.097409971
180,cg14919591,-0.287442301
181,cg15089111,0.017766619
182,cg15166827,-0.132208303
183,cg15340018,0.201225539
184,cg15437942,0.118504219
185,cg15496507,-0.026067798
186,cg15580396,-0.016772084
187,cg15597031,0.023984324
188,cg15682828,0.2554586
189,cg15719056,0.105238486
190,cg15726426,0.003019246
191,cg15746205,-0.150618685
192,cg15809488,-0.664041584
193,cg15903282,0.020030463
194,cg15991909,-0.04962426
195,cg16366505,0.032339211
196,cg16423684,0.008945547
197,cg16475558,-0.001455788
198,cg16486681,-0.044001663
199,cg16570119,0.073642964
200,cg16599143,0.272940073
201,cg16671190,0.044830868
202,cg16756969,-0.069680929
203,cg16764258,0.025342504
204,cg16867657,0.144298802
205,cg16960327,0.276846163
206,cg17114460,0.065309902
207,cg17116410,0.066407374
208,cg17143801,0.306777113
209,cg17267107,0.127785136
210,cg17357006,0.019420368
211,cg17365410,-0.589556598
212,cg17437489,-0.18444058
213,cg17499466,0.018911331
214,cg17516812,-0.028641676
215,cg17633063,0.01802741
216,cg17718834,0.057719543
217,cg17850367,0.000359682
218,cg17876669,-0.034764336
219,cg17905888,-0.107558271
220,cg18094982,0.049600413
221,cg18168101,-0.145768619
222,cg18169540,0.033117452
223,cg18194685,0.100103362
224,cg18223258,-0.067118113
225,cg18304538,0.07334619
226,cg18411550,-0.306030595
227,cg18433728,-0.025967256
228,cg18473521.2,0.04241454
229,cg18502834,-0.211022983
230,cg18526971,-0.118880121
231,cg18577444,-0.117337858
232,cg18672716,0.039698776
233,cg18738190,-0.154921975
234,cg18814344,-0.152329357
235,cg18821963,0.25659039
236,cg18918349,-0.003875303
237,cg19090691,-0.121300661
238,cg19098934,0.012643955
239,cg19195912,-0.09196262
240,cg19233240,0.037414441
241,cg19358608,0.015860249
242,cg19450032,-0.003476503
243,cg19513247,-0.213046499
244,cg19591642,-0.351198176
245,cg19622303,0.037041466
246,cg19635507,-0.003600397
247,cg19643847,-0.116943413
248,cg19821183,-0.01669086
249,cg19981759,0.089226419
250,cg20113482,0.00012533
251,cg20185523,0.002308501
252,cg20331456,-0.11120608
253,cg20345626,-0.051125014
254,cg20421508,0.010438543
255,cg20452275,-0.153614651
256,cg20615601,-0.209853407
257,cg20738648,0.057955892
258,cg20804050,-0.189793904
259,cg21006686,0.025069307
260,cg21345677,0.068774528
261,cg21621248,-0.0298708
262,cg21633990,0.033711465
263,cg21650436,-0.000271686
264,cg21694863,-0.04195258
265,cg21907062,0.012016874
266,cg21956144,0.003211951
267,cg22031066,0.071068167
268,cg22264409,0.22425113
269,cg22267613,-0.081206768
270,cg22338839,-0.150449084
271,cg22354333,-0.255651658
272,cg22380921,-0.008258906
273,cg22398409,-0.033401784
274,cg22416332,-0.000398777
275,cg22457719,0.048841565
276,cg22560410,-0.192257773
277,cg22621796,-0.097385387
278,cg22661206,0.261166228
279,cg22929401,-0.387711707
280,cg23076498,0.148003979
281,cg23087015,0.254654559
282,cg23128382,-0.046604843
283,cg23292987,0.00303996
284,cg23314464,0.015436719
285,cg23415880,0.061838193
286,cg23501051,-0.073722153
287,cg23510032,-0.038272497
288,cg23597501,0.056082868
289,cg23778391,-0.197359572
290,cg23931487,0.000441897
291,cg23985931,0.19795673
292,cg24055081,-0.093870511
293,cg24058132,-0.122562391
294,cg24119607,-0.058343374
295,cg24191230,0.041990684
296,cg24315421,-0.044871807
297,cg24352905,0.853267701
298,cg24357465,0.090101787
299,cg24504442,0.067603335
300,cg24551749,0.000464049
301,cg24615318,-0.018147331
302,cg24655241,0.064225663
303,cg24805210,-0.137834732
304,cg24888049,-0.039374797
305,cg24952195,0.07968321
306,cg24977387,-0.019749715
307,cg25019875,0.138827739
308,cg25033328,-0.131315015
309,cg25184118,-0.197577125
310,cg25217825,0.075596402
311,cg25424883,-0.277068553
312,cg25468783,0.11346356
313,cg25603344,-0.17847739
314,cg25943666,0.154930766
315,cg26012482,0.096389422
316,cg26067250,0.510612929
317,cg26072749,-0.099396313
318,cg26275174,-0.040912185
319,cg26311454,0.064506134
320,cg26418994,0.005591741
321,cg26512254,0.088946847
322,cg26581729,-0.010839533
323,cg26589497,-0.008017655
324,cg26614073,-0.01563665
325,cg26662324,-0.32657677
326,cg26709300,-0.037799163
327,cg26844246,0.150487122
328,cg27088374,-0.136771586
329,cg27201382,0.44464499
330,cg27228973,-0.038098753
331,cg27507315,-0.21075238
332,cg27547112,0.010457976
333,cg27553955,0.094160723
334,cg27581159,-0.129683554
335,cg27657271,-0.070242698
336,cg27662445,-0.115571957
