CpG ID,Coefficient,Coefficient rounded,Symbol,strand,ENSEMBL,Gene Length,annotation,Chromatin State,PRC Binding Site,CpG Island,Human hg38,Mouse mm9
cg08168552,0.19268682,0.19,FAF1,+,ENSG00000185104,519002,"Intron (uc010onc.1/11124, intron 5 of 11)",EnhA17,None,TRUE,chr1:51035916,chr4:109531680
cg08212459,0.017916261,0.018,TBCA,+,ENSG00000171530,85112,Distal Intergenic,BivProm3,None,TRUE,chr5:77143637,chr13:95477018
cg08582529,0.106311633,0.11,FRMD4A,+,ENSG00000151474,687161,"Exon (uc001ims.3/55691, exon 22 of 25)",TxEnh4,None,FALSE,chr10:13698640,chr2:4525292
cg08759838,0.124532926,0.12,LRP6,-,ENSG00000070018,150851,"Exon (uc001rah.4/4040, exon 2 of 23)",Tx4,None,TRUE,chr12:12397292,chr6:134491766
cg08844333,0.250910428,0.25,PRPF38B,-,ENSG00000134186,9491,Promoter (<=1kb),PromF4,PRC1,TRUE,chr1:109235474,chr3:108714096
cg08899884,-0.080484117,-0.08,EFNA3,+,ENSG00000143590,23802,"Exon (uc010pew.2/1944, exon 3 of 5)",PromF3,None,TRUE,chr1:155058356,chr3:89120053
cg09067976,-0.070799292,-0.071,PAX7,+,ENSG00000009709,117861,"Intron (uc001bay.3/5081, intron 4 of 7)",BivProm2,PRC2,FALSE,chr1:18973303,chr4:139374139
cg09122966,0.167796521,0.17,COLCA1,+,ENSG00000196167,6426,"Exon (uc001pld.3/399948, exon 2 of 2)",ReprPC2,None,TRUE,chr11:111169043,chr9:51087949
cg09443670,0.017828268,0.018,OTX2-AS1,+,ENSG00000248550,108612,"Intron (uc021rtn.1/100309464, intron 2 of 2)",EnhA18,None,TRUE,chr14:57369249,chr14:49372950
cg09504625,0.006053204,0.0061,NEPRO,+,ENSG00000163608,17264,Distal Intergenic,EnhA17,None,TRUE,chr3:112823578,chr16:44672440
cg09536021,0.315046012,0.32,MOSMO,-,ENSG00000185716,76517,"Exon (uc002dkd.2/730094, exon 2 of 3)",TxEnh8,None,TRUE,chr16:22086975,chr7:127869801
cg09556622,-0.007629014,-0.0076,HTR3B,+,ENSG00000149305,41766,"Intron (uc001pok.3/9177, intron 6 of 8)",ReprPC3,None,TRUE,chr11:113807542,chr9:48749912
cg09625554,0.081807369,0.082,LOXL1-AS1,+,ENSG00000261801,10781,"Exon (uc002awc.1/4016, exon 1 of 7)",PromF5,None,FALSE,chr15:74219242,chr9:58160575
cg09681972,0.031236538,0.031,HOXB8,+,ENSG00000120068,2594,"Exon (uc002inw.3/3218, exon 2 of 2)",BivProm4,None,FALSE,chr17:46690832,chr11:96145515
cg09733019,0.015346221,0.015,RNU6-16P,+,NA,30,Distal Intergenic,EnhA19,None,TRUE,chr7:25793221,chr6:51027481
cg09995750,0.090042393,0.09,MECP2,+,ENSG00000169057,75925,3' UTR,Tx8,None,TRUE,chr23:153294700,chr20:71279671
cg10040493,0.059264556,0.059,OTP,+,ENSG00000171540,9986,Promoter (2-3kb),ReprPC1,PRC2,TRUE,chr5:76937123,NA
cg10234511,0.080952577,0.081,CASZ1,-,ENSG00000130940,160068,"Intron (uc001aro.4/54897, intron 2 of 20)",EnhA17,None,TRUE,chr1:10788801,NA
cg10288441,0.019199392,0.019,CHKA,-,ENSG00000110721,68533,"Intron (uc001onj.3/1119, intron 2 of 11)",TxEnh5,None,TRUE,chr11:67857331,chr19:3871018
cg10455019,0.010341856,0.01,PLAG1,+,ENSG00000181690,50392,"Exon (uc003xsq.4/5324, exon 2 of 3)",TxWk1,None,TRUE,chr8:57080755,chr4:3832762
cg10622458,-0.028354546,-0.028,CDC27,-,ENSG00000004897,71355,"Exon (uc002ild.4/996, exon 5 of 19)",GapArtf3,None,TRUE,chr17:45235658,chr11:104390741
cg10890721,-0.030887304,-0.031,MEX3C,-,ENSG00000176624,23132,"Exon (uc002lfc.4/51320, exon 2 of 2)",Tx4,None,TRUE,chr18:48702778,chr18:73750392
cg10975089,-0.143271629,-0.14,TLE1,-,ENSG00000196781,104999,"Intron (uc004aly.3/7088, intron 4 of 19)",TxEnh7,None,TRUE,chr9:84298418,chr4:71856807
cg11201460,0.059409628,0.059,PAX5,+,ENSG00000196092,195946,"Intron (uc011lpt.1/5079, intron 5 of 6)",BivProm3,None,TRUE,chr9:36865039,chr4:44571456
cg11212712,0.049960335,0.05,HOXC4,-,ENSG00000198353,39173,3' UTR,ReprPC2,PRC2,TRUE,chr12:54449776,chr15:102867245
cg11224923,0.033589336,0.034,MVB12B,+,ENSG00000196814,180198,"Intron (uc004bqh.2/89853, intron 7 of 9)",TxWk1,None,TRUE,chr9:129224347,chr2:33627326
cg11499678,0.102771131,0.1,KLF7,+,ENSG00000118263,93109,"Exon (uc002vbz.2/8609, exon 1 of 4)",PromF4,PRC1,TRUE,chr2:208030241,chr1:64167524
cg12237348,0.074263906,0.074,KCNMA1,+,ENSG00000156113,768219,"Exon (uc001jxj.2/3778, exon 23 of 29)",TxWk2,None,TRUE,chr10:78704663,chr14:24183155
cg12310445,-0.024636578,-0.025,TXNDC11,+,ENSG00000153066,63706,"Exon (uc002dbg.1/51061, exon 6 of 12)",TxEnh6,None,TRUE,chr16:11794402,chr16:11094003
cg12764461,0.386096641,0.39,CAMKMT,-,ENSG00000143919,410689,"Intron (uc002rum.3/79823, intron 5 of 10)",EnhA17,None,TRUE,chr2:44934339,chr17:85793727
cg13453408,0.248924772,0.25,FOXG1,+,ENSG00000176165,3206,Promoter (2-3kb),BivProm3,PRC2,TRUE,chr14:29233556,chr12:50482799
cg13528652,1.024304222,1,SYNCRIP,+,ENSG00000135316,33668,"Exon (uc003pkz.2/10492, exon 10 of 10)",TxEx1,None,TRUE,chr6:86324674,chr9:88351176
cg13652008.2,-0.007681026,-0.0077,LTBP1,+,ENSG00000049323,452207,"Intron (uc021vft.1/4052, intron 4 of 33)",EnhA3,None,TRUE,chr2:33359356,chr17:75577831
cg13673047,-1.091938112,-1.1,EGR3,-,ENSG00000179388,5642,Promoter (<=1kb),PromF5,None,FALSE,chr8:22551046,chr14:70476667
cg13733201,-0.059599065,-0.06,RAB11A,+,ENSG00000103769,22533,"Exon (uc002apk.3/8766, exon 3 of 5)",TxEx1,None,TRUE,chr15:66170248,chr9:64574475
cg13895857,-0.056514386,-0.057,NEUROD2,+,ENSG00000171532,4155,3' UTR,BivProm2,None,TRUE,chr17:37760094,chr11:98186801
cg13915277,0.04339871,0.043,LINC01124,+,ENSG00000222033,2129,"Intron (uc002ugc.1/uc002ugc.1, intron 3 of 9)",EnhA18,None,TRUE,chr2:171537282,chr2:70282325
cg14002243,0.039808771,0.04,SKAP2,+,ENSG00000005020,190610,"Intron (uc011jzi.2/8935, intron 4 of 12)",EnhA2,None,TRUE,chr7:26853292,chr6:51925920
cg14156441,-0.273141485,-0.27,TRIB1,-,ENSG00000173334,8082,"Intron (uc003yrx.3/10221, intron 2 of 2)",TxEx4,None,TRUE,chr8:126447096,NA
cg14182735,-0.019794909,-0.02,GALNT13,-,ENSG00000144278,582064,"Exon (uc002tyr.4/114805, exon 11 of 13)",EnhWk5,None,TRUE,chr2:155265538,chr2:54926351
cg14736210,0.071319606,0.071,KCNB1,-,ENSG00000158445,110679,Promoter (<=1kb),BivProm3,None,FALSE,chr20:48098642,NA
cg15331238,0.051149305,0.051,CASZ1,-,ENSG00000130940,160068,"Intron (uc001aro.4/54897, intron 2 of 20)",BivProm3,None,TRUE,chr1:10774747,chr4:148255431
cg15516023,0.139383281,0.14,ZNF384,+,ENSG00000126746,22899,"Exon (uc010sfh.2/171017, exon 8 of 11)","TxEx3,TxEx2",None,TRUE,chr12:6781650,chr6:124981736
cg15597107,0.09111841,0.091,CACNA2D2,+,ENSG00000007402,140662,Distal Intergenic,BivProm3,None,TRUE,chr3:50567845,chr9:107280516
cg15719056,0.489754475,0.49,CLPB,-,ENSG00000162129,142215,"Intron (uc010rqz.2/81570, intron 3 of 14)",EnhA20,None,TRUE,chr11:72080898,chr7:108862694
cg15912797,-0.341126737,-0.34,KAT6B,+,ENSG00000156650,206210,Promoter (<=1kb),PromF4,None,TRUE,chr10:76586382,chr14:22320135
cg16078678,0.040331138,0.04,PATZ1,-,ENSG00000100105,20460,"Exon (uc003aks.3/23598, exon 3 of 3)",TxEnh4,None,TRUE,chr22:31737565,NA
cg16642472,0.112471878,0.11,JADE1,+,ENSG00000077684,65601,"Exon (uc003igk.3/79960, exon 10 of 11)",Tx7,None,TRUE,chr4:129789014,chr3:41413728
cg16684539,-0.021904039,-0.022,CASZ1,-,ENSG00000130940,160068,"Intron (uc001aro.4/54897, intron 3 of 20)",ReprPC4,None,TRUE,chr1:10758508,chr4:148271461
cg16909978,0.03264636,0.033,KCNU1,-,ENSG00000215262,148709,Distal Intergenic,Acet4,None,TRUE,chr8:37041823,chr8:27582693
cg16991239,-0.253516667,-0.25,PPP1R10,-,ENSG00000204569,16908,Promoter (<=1kb),PromF6,None,TRUE,chr6:30584273,chr17:36054642
cg17049500,-0.104707103,-0.1,STX16,-,ENSG00000124222,28274,Promoter (<=1kb),PromF4,None,TRUE,chr20:57227193,chr2:173902689
cg17638929,0.05588777,0.056,MBTD1,+,ENSG00000011258,82642,"Intron (uc002itr.4/54799, intron 4 of 16)",TxEx2,None,TRUE,chr17:49297685,chr11:93770256
cg18098851,0.191718293,0.19,USP9X,+,ENSG00000124486,150945,3' UTR,Tx7,None,TRUE,chr23:41091947,NA
cg18228590,0.137802604,0.14,TBCA,+,ENSG00000171530,85112,Distal Intergenic,ReprPC1,PRC2,TRUE,chr5:77142469,chr13:95478152
cg18232282,0.027555559,0.028,ASCC3,-,ENSG00000112249,372617,"Intron (uc003pqk.3/10973, intron 37 of 41)",EnhA20,None,TRUE,chr6:100974054,chr10:50554034
cg18298247,-0.083881778,-0.084,AGO3,+,ENSG00000126070,125381,"Exon (uc001bzp.3/192669, exon 19 of 19)",TxEx3,None,TRUE,chr1:36521326,chr4:126022737
cg18473521.2,0.086169339,0.086,HOXC4,+,ENSG00000198353,39173,"Intron (uc001seu.3/3221, intron 3 of 3)",BivProm4,PRC2,TRUE,chr12:54448265,chr15:102865701
cg18728528,-0.009415911,-0.0094,CASZ1,+,ENSG00000130940,160068,"Intron (uc001aro.4/54897, intron 2 of 20)",EnhA17,None,TRUE,chr1:10794579,chr4:148234963
cg18766286,0.015944148,0.016,LCOR,-,ENSG00000196233,150610,"Exon (uc001kmr.3/84458, exon 8 of 9)",TxEx2,None,TRUE,chr10:98715237,chr19:41633328
cg18821963,0.000438786,0.00044,CELF6,+,ENSG00000140488,53958,5' UTR,BivProm3,PRC2,FALSE,chr15:72612024,chr9:59426375
cg19175123,0.06240673,0.062,FBXW4,+,ENSG00000107829,84323,"Intron (uc001kto.3/6468, intron 5 of 8)",TxEnh5,None,TRUE,chr10:103411746,chr19:45691563
cg19302617,-0.018150551,-0.018,RPS19,+,ENSG00000105372,11497,Promoter (<=1kb),PromF3,None,TRUE,chr19:42364868,NA
cg19405113,0.208305075,0.21,EMX2OS,+,ENSG00000229847,60776,Distal Intergenic,ReprPC4,None,TRUE,chr10:119481464,chr19:59706767
cg19641802,0.000163273,0.00016,FAAHP1,-,NA,11876,Distal Intergenic,ReprPC6,None,TRUE,chr1:46921869,chr4:115645248
cg19761677,0.035733359,0.036,PSD2,+,ENSG00000146005,48643,Distal Intergenic,BivProm2,None,FALSE,chr5:139144223,chr18:36098427
cg19778765,0.128833687,0.13,LINC01568,+,ENSG00000258779,34592,Distal Intergenic,EnhA6,None,TRUE,chr16:73747842,chr8:110625583
cg19839218,-0.101486716,-0.1,RREB1,+,ENSG00000124782,144384,"Intron (uc021yky.1/6239, intron 1 of 11)",PromF3,None,TRUE,chr6:7109940,chr13:37919822
cg19941852,0.228966151,0.23,MEF2A,-,ENSG00000068305,150497,"Exon (uc002bve.3/4205, exon 5 of 12)",Tx6,None,TRUE,chr15:100211575,chr7:74413238
cg20001705,-0.097624332,-0.098,PBX3,+,ENSG00000167081,220039,"Intron (uc004bqb.3/5090, intron 2 of 8)",PromF7,None,TRUE,chr9:128521988,chr2:34215422
cg20098951,0.044291409,0.044,NSD3,-,ENSG00000147548,107230,"Exon (uc003xlj.3/54904, exon 10 of 10)",TxEnh4,None,TRUE,chr8:38175605,chr8:26787125
cg20136571,-0.180383565,-0.18,INPP4A,-,ENSG00000040933,146176,"Exon (uc010yvj.1/3631, exon 26 of 26)",Tx5,None,TRUE,chr2:99198094,chr1:37460349
cg20196134,-0.052051642,-0.052,EDN2,-,ENSG00000127129,5429,Distal Intergenic,BivProm1,None,TRUE,chr1:41832379,chr4:119955192
cg20205799,0.000117701,0.00012,RNF220,+,ENSG00000187147,246437,"Intron (uc001clv.1/55182, intron 2 of 14)",EnhWk8,None,TRUE,chr1:45002618,chr4:117052655
cg20233898,0.007749595,0.0077,SAP30BP,-,ENSG00000161526,24572,"Exon (uc010dgm.1/29115, exon 3 of 5)",TxEx1,None,TRUE,chr17:73667904,chr11:115799332
cg20359134,-0.074326257,-0.074,NR2F1-AS1,+,ENSG00000237187,154105,Distal Intergenic,Acet5,None,TRUE,chr5:91970672,chr13:79485456
cg20867091,-0.07872506,-0.079,MRM1,+,ENSG00000278619,7017,Distal Intergenic,PromF2,None,TRUE,chr17:35078256,chr11:84521939
cg20943240,-0.107457745,-0.11,ZFPM2,-,ENSG00000169946,485621,"Intron (uc003ymd.3/23414, intron 5 of 7)",Acet5,None,TRUE,chr8:106744572,NA
cg21045012,0.112358071,0.11,HECW2,+,ENSG00000138411,393359,"Exon (uc002utl.1/57520, exon 11 of 27)",TxEnh5,None,TRUE,chr2:197171262,chr1:53970135
cg21290622,-0.037154032,-0.037,DACH1,-,ENSG00000276644,429233,"Intron (uc021rkj.1/1602, intron 1 of 10)",EnhA11,None,TRUE,chr13:72371892,chr14:98503860
cg21347683,0.284315635,0.28,NAA25,+,ENSG00000111300,82143,"Exon (uc001ttn.4/80018, exon 15 of 24)",TxEx2,None,TRUE,chr12:112487342,NA
cg21405415,0.007632845,0.0076,GRID1,+,ENSG00000182771,766939,"Exon (uc001kdl.1/2894, exon 2 of 16)",BivProm2,PRC2,FALSE,chr10:88123779,NA
cg21421053,0.013227729,0.013,MAPKAP1,-,ENSG00000119487,269841,"Intron (uc010mwz.3/79109, intron 4 of 8)",EnhA17,None,TRUE,chr9:128277929,chr2:34412332
cg21484638,-0.039706972,-0.04,ZEB2,+,ENSG00000169554,136017,"Intron (uc002tvu.3/9839, intron 2 of 9)",EnhA2,None,TRUE,chr2:145262565,chr2:44953085
cg21969265,0.107833356,0.11,NOG,-,ENSG00000183691,1892,Distal Intergenic,Quies3,None,TRUE,chr17:54694925,NA
cg22007739,0.044480293,0.044,ASH1L,+,ENSG00000116539,227273,3' UTR,Tx6,None,TRUE,chr1:155305329,NA
cg22507874,0.01611155,0.016,UBE2E3,-,ENSG00000170035,83039,3' UTR,Tx6,None,TRUE,chr2:181927606,NA
cg22598041,0.388685848,0.39,SKAP1,-,ENSG00000141293,296793,"Intron (uc002ini.1/8631, intron 4 of 12)",ReprPC3,None,TRUE,chr17:46310070,chr11:96517163
cg22660217,0.025152434,0.025,HNRNPK,+,ENSG00000165119,12572,5' UTR,TxEx1,None,TRUE,chr9:86590619,chr13:58499356
cg23078557,-0.042488839,-0.042,VRK1,-,ENSG00000100749,84268,Distal Intergenic,EnhWk5,None,TRUE,chr14:97431607,chr12:107367708
cg23189934,0.045825251,0.046,LINC01568,+,ENSG00000258779,34592,Distal Intergenic,EnhWk4,None,TRUE,chr16:73560120,chr8:110788795
cg23302461,0.112709759,0.11,FOXF2,+,ENSG00000137273,5764,Promoter (1-2kb),BivProm2,PRC2,TRUE,chr6:1388069,chr13:31715860
cg23361259,0.11019204,0.11,BAZ1A,-,ENSG00000198604,122917,"Exon (uc001wsk.3/11177, exon 3 of 27)",Tx4,None,TRUE,chr14:35331349,chr12:56076190
cg23801118,-0.034293967,-0.034,ACACA,-,ENSG00000278540,214766,"Intron (uc002hnk.3/31, intron 24 of 54)",TxEnh5,None,TRUE,chr17:35590168,chr11:84085599
cg24037767,0.086559942,0.087,SMUG1,-,ENSG00000123415,7503,Distal Intergenic,EnhWk2,None,TRUE,chr12:54555029,chr15:102966211
cg24164819,-0.033240645,-0.033,KDM7A,+,ENSG00000006459,92196,"Intron (uc003vvm.3/80853, intron 1 of 19)",TSS1,None,FALSE,chr7:139875480,chr6:39155526
cg24412399,-0.064780735,-0.065,LHX2,-,ENSG00000106689,21554,Distal Intergenic,BivProm2,PRC2,TRUE,chr9:126759148,NA
cg24463112,-0.099147867,-0.099,PLEKHA7,+,ENSG00000166689,235416,"Intron (uc010rcu.1/144100, intron 13 of 26)",EnhWk2,None,TRUE,chr11:16828690,chr7:123291766
cg24509515,0.019205333,0.019,ZBTB7C,-,ENSG00000184828,382025,"Exon (uc002ldb.3/201501, exon 3 of 3)",TxWk2,None,TRUE,chr18:45556238,chr18:76305378
cg24597392,0.091173183,0.091,RBFOX2,+,ENSG00000100320,101848,"Exon (uc003aoh.4/23543, exon 5 of 12)",Tx3,None,TRUE,chr22:36164384,chr15:76936087
cg25107978,-0.104008689,-0.1,MBD6,+,ENSG00000166987,7273,Promoter (<=1kb),TSS2,None,FALSE,chr12:57916571,chr10:126725990
cg25430489,0.14171435,0.14,ESRRB,+,ENSG00000119715,130491,"Exon (uc001xso.3/2103, exon 5 of 12)",ReprPC6,None,TRUE,chr14:76928938,chr12:87829547
cg25488613,0.111062572,0.11,DHX15,+,ENSG00000109606,11686,"Exon (uc003gqw.3/1665, exon 1 of 4)",TxEnh4,None,TRUE,chr4:24538755,NA
cg25729765,-0.505784962,-0.51,SP3,+,ENSG00000172845,59244,Promoter (<=1kb),PromF4,None,FALSE,chr2:174829932,chr2:72818346
cg25805807,0.076003394,0.076,BTRC,-,ENSG00000166167,203289,"Exon (uc001kta.4/8945, exon 2 of 15)",TxEnh5,None,TRUE,chr10:103190145,chr19:45497666
cg26163855,-0.057890442,-0.058,SRRM1,-,ENSG00000133226,30179,Promoter (<=1kb),PromF4,PRC2,FALSE,chr1:24969836,chr4:134909013
cg26347591,0.007752271,0.0078,BARHL2,-,ENSG00000143032,5216,Promoter (1-2kb),BivProm2,PRC2,TRUE,chr1:91184658,chr5:106888651
cg26465231,0.064486325,0.064,NPTN,-,ENSG00000156642,73410,"Exon (uc002avr.3/27020, exon 7 of 8)",Tx6,None,TRUE,chr15:73854270,chr9:58499105
cg26976812,-0.053197084,-0.053,PEX14,+,ENSG00000142655,155813,"Intron (uc009vmu.1/5195, intron 3 of 4)",EnhA5,None,TRUE,chr1:10658867,chr4:148358699
cg27231389,0.363952488,0.36,YTHDC1,+,ENSG00000083896,39720,"Exon (uc003hdx.3/91746, exon 11 of 17)",TxEx2,None,TRUE,chr4:69188491,chr5:87257121
cg27244652,-0.045162102,-0.045,CYLD,+,ENSG00000083799,4920,Distal Intergenic,BivProm1,None,FALSE,chr16:50875321,chr8:91303508
