CpG ID,Coefficient,Coefficient rounded,Symbol,strand,ENSEMBL,Gene Length,annotation,Chromatin State,PRC Binding Site,CpG Island,Human hg38,Mouse mm9
cg00773632,-0.016604953,-0.017,NTM,+,ENSG00000182667,966346,"Intron (uc001qgm.3/50863, intron 1 of 7)",EnhWk4,None,TRUE,chr11:131263886,chr9:29747205
cg00847072,0.101475112,0.1,VPS37D,-,ENSG00000176428,4267,3' UTR,TxWk2,None,TRUE,chr7:73086400,chr5:135548813
cg00902440,0.071371165,0.071,PHOX2B,-,ENSG00000109132,4889,Promoter (<=1kb),ReprPC1,PRC2,TRUE,chr4:41750585,chr5:67490138
cg01039531,0.010101246,0.01,LINC01085,+,ENSG00000248698,28085,Distal Intergenic,EnhWk4,None,TRUE,chr4:14269467,chr5:42914819
cg01136078,-0.171003598,-0.17,EDN2,+,ENSG00000127129,5429,Distal Intergenic,BivProm1,PRC2,TRUE,chr1:41849198,chr4:119939747
cg01166318,0.036434953,0.036,MARCHF4,-,ENSG00000144583,114166,"Exon (uc002vgb.3/57574, exon 1 of 4)",BivProm3,None,TRUE,chr2:217234886,chr1:72581617
cg01173053,0.107505764,0.11,WDR20,+,ENSG00000140153,83822,Promoter (<=1kb),PromF4,None,FALSE,chr14:102606407,chr12:111976385
cg01183821,-0.020106468,-0.02,ARID2,+,ENSG00000189079,164080,Promoter (<=1kb),PromF4,None,FALSE,chr12:46123850,chr15:96118348
cg01193554,-0.000166491,-0.00017,EDN2,-,ENSG00000127129,5429,Distal Intergenic,BivProm2,None,TRUE,chr1:41846683,chr4:119942397
cg01241934,0.004268177,0.0043,ARID1A,+,ENSG00000117713,86080,"Exon (uc001bmt.1/8289, exon 8 of 19)",TxEx1,None,TRUE,chr1:27089640,NA
cg01262663,-0.078950163,-0.079,LINC00900,-,NA,2747,Distal Intergenic,BivProm2,None,TRUE,chr11:115531176,chr9:47175648
cg01325609,-0.114510093,-0.11,IL20RB,+,ENSG00000174564,30619,Distal Intergenic,Quies1,None,TRUE,chr3:137002387,chr9:100152958
cg01456511,-0.062920654,-0.063,ARX,-,ENSG00000004848,12253,"Intron (uc004dbp.4/170302, intron 3 of 4)",ReprPC1,PRC2,TRUE,chr23:25027996,chr20:90537596
cg01475649,-0.10788082,-0.11,C1D,+,ENSG00000197223,10938,Distal Intergenic,EnhA1,None,TRUE,chr2:68073599,NA
cg01572724,-0.016905216,-0.017,TSPAN17,+,ENSG00000048140,11672,Distal Intergenic,EnhA18,None,TRUE,chr5:176099440,NA
cg01716627,0.194361984,0.19,SCN3A,+,ENSG00000153253,116548,"Exon (uc002ucx.3/6328, exon 13 of 28)",Acet1,None,TRUE,chr2:165997321,chr2:65346532
cg01795521,-0.010591722,-0.011,COMTD1,+,ENSG00000165644,2042,Promoter (3-4kb),EnhWk4,None,TRUE,chr10:76998860,chr14:22670315
cg01912337,0.007341259,0.0073,HOXA2,+,ENSG00000105996,2422,Promoter (<=1kb),BivProm4,PRC2,TRUE,chr7:27142748,chr6:52115259
cg01915599,-0.023435503,-0.023,PURA,+,ENSG00000185129,5294,Promoter (<=1kb),PromF4,PRC2,FALSE,chr5:139494256,chr18:36447302
cg02016833,0.007864925,0.0079,PMFBP1,-,ENSG00000118557,53354,"Intron (uc002fci.1/uc002fci.1, intron 1 of 1)",Quies3,None,TRUE,chr16:72505778,chr8:111738203
cg02041498,-0.073202785,-0.073,MEIS1,-,ENSG00000143995,137360,"Intron (uc002sdt.3/4211, intron 7 of 10)",EnhA1,None,TRUE,chr2:66735849,chr11:18845143
cg02041991,0.007846526,0.0078,SLC4A7,+,ENSG00000033867,111700,"Exon (uc010hfl.4/9497, exon 5 of 18)",Tx6,None,TRUE,chr3:27451043,chr14:15594839
cg02057025,-0.084144406,-0.084,RBFOX1,-,ENSG00000078328,1694209,3' UTR,Quies2,None,TRUE,chr16:7760730,chr16:7409889
cg02074136,-0.037496321,-0.037,BNC2,-,ENSG00000173068,461286,"Intron (uc011lmv.2/54796, intron 1 of 4)",EnhA2,None,TRUE,chr9:16571647,chr4:84049910
cg02192104,0.039049792,0.039,LBX1,-,ENSG00000138136,1985,Distal Intergenic,ReprPC1,PRC2,TRUE,chr10:102978906,NA
cg02330041,0.073119141,0.073,HOXD10,-,ENSG00000128710,3179,Promoter (<=1kb),ReprPC1,PRC2,TRUE,chr2:176981812,chr2:74530287
cg02391262,-0.285544928,-0.29,TRIM8,+,ENSG00000171206,13825,Promoter (<=1kb),PromF4,None,FALSE,chr10:104404795,chr19:46577354
cg02539177,0.00058078,0.00058,YTHDF2,+,ENSG00000198492,33155,"Exon (uc021okf.1/51441, exon 5 of 6)",TxEx1,None,TRUE,chr1:29070132,NA
cg02635768,-0.033027507,-0.033,SSBP2,-,ENSG00000145687,333894,Promoter (<=1kb),PromF4,PRC1,FALSE,chr5:81046870,chr13:91600782
cg02714778,0.009517499,0.0095,GIT1,-,ENSG00000108262,16124,"Exon (uc002hef.2/28964, exon 20 of 20)",TxEnh4,None,TRUE,chr17:27901830,chr11:77319999
cg02844523,0.011248783,0.011,ATXN1,-,ENSG00000124788,462379,5' UTR,Tx5,None,FALSE,chr6:16328549,chr13:45663794
cg02871654,0.004627371,0.0046,ZNF521,+,ENSG00000198795,290327,"Intron (uc002kvk.2/25925, intron 5 of 7)",EnhWk4,None,TRUE,chr18:22762281,NA
cg03119474,-0.085435043,-0.085,PAPOLA,+,ENSG00000090060,64741,Distal Intergenic,BivProm3,None,TRUE,chr14:97080914,chr12:107113343
cg03144020,0.000119067,0.00012,RIMS1,+,ENSG00000079841,516440,Promoter (<=1kb),BivProm1,None,TRUE,chr6:72596795,chr1:22812494
cg03146625,0.012620838,0.013,HOXC4,+,ENSG00000198353,39173,"Exon (uc001seu.3/3221, exon 4 of 4)",BivProm2,PRC2,TRUE,chr12:54448729,chr15:102866163
cg03214473,-0.130754684,-0.13,ACIN1,+,ENSG00000100813,37050,"Exon (uc001wio.4/22985, exon 2 of 12)",TxEx4,None,TRUE,chr14:23537794,NA
cg03264110,-0.046623716,-0.047,ZNF423,+,ENSG00000102935,173622,"Intron (uc010vgn.3/23090, intron 3 of 5)",EnhA3,None,TRUE,chr16:49630064,chr8:90274134
cg03280886,-0.022498271,-0.022,DNAJB5,-,ENSG00000137094,8793,Promoter (2-3kb),EnhA8,None,TRUE,chr9:34986795,chr4:42960023
cg03334831,0.003330156,0.0033,MYH7,-,ENSG00000092054,22924,"Exon (uc001wjx.3/4625, exon 12 of 40)",ReprPC7,None,TRUE,chr14:23899059,chr14:55608167
cg03488359,0.023216221,0.023,FAM219A,+,ENSG00000164970,60387,"Exon (uc003zuj.3/203259, exon 2 of 6)",Tx8,None,TRUE,chr9:34405919,chr4:41471404
cg03537184,-0.062429366,-0.062,CLASP2,-,ENSG00000163539,221967,5' UTR,PromF5,None,TRUE,chr3:33686800,chr9:113721857
cg03598688,0.004504885,0.0045,SMAD6,-,ENSG00000137834,73408,Distal Intergenic,HET8,None,TRUE,chr15:67178857,NA
cg03603629,-0.009770765,-0.0098,KAZALD1,+,ENSG00000107821,4353,Distal Intergenic,BivProm2,PRC2,FALSE,chr10:102809987,chr19:45141968
cg03653554,-0.108729516,-0.11,CAMTA1,-,ENSG00000171735,984383,"Intron (uc001aoi.3/23261, intron 4 of 22)",Quies3,None,TRUE,chr1:7200853,chr4:150923404
cg03684591,0.055160914,0.055,ANKRD10,-,ENSG00000088448,36530,5' UTR,TxEx1,None,TRUE,chr13:111553030,chr8:11623847
cg03834148,-0.040236872,-0.04,PBX1,-,ENSG00000185630,292464,"Intron (uc001gcs.3/5087, intron 2 of 7)",EnhA2,None,TRUE,chr1:164681490,chr1:170218676
cg03840462,0.201670164,0.2,BCOR,+,ENSG00000183337,126084,"Intron (uc004deo.4/54880, intron 1 of 13)",TSS2,None,FALSE,chr23:40013580,chr20:11713112
cg04001264,0.011257129,0.011,PNN,-,ENSG00000100941,8036,3' UTR,TxEx1,None,TRUE,chr14:39651035,NA
cg04086891,-0.00036296,-0.00036,MIR4318,-,ENSG00000266530,81,Distal Intergenic,Quies1,None,TRUE,chr18:35276506,chr18:26063513
cg04097289,0.05353895,0.054,SMUG1,+,ENSG00000123415,7503,Distal Intergenic,EnhWk2,None,TRUE,chr12:54555084,chr15:102966266
cg04118160,-0.003928329,-0.0039,BTRC,-,ENSG00000166167,203289,"Intron (uc001kta.4/8945, intron 4 of 14)",Quies3,None,TRUE,chr10:103252107,chr19:45556755
cg04153067,0.040151726,0.04,NPAS3,-,ENSG00000151322,864924,"Intron (uc001wrs.3/64067, intron 5 of 11)",EnhA17,None,TRUE,chr14:34036534,chr12:54939520
cg04298620,0.053076837,0.053,TNIK,+,ENSG00000154310,397906,"Exon (uc003fhh.2/23043, exon 14 of 33)",Tx5,None,TRUE,chr3:170857332,chr3:28493841
cg04308306,0.074740381,0.075,BUB3,-,ENSG00000154473,8170,Distal Intergenic,ReprPC2,None,TRUE,chr10:125033934,chr7:138836056
cg04490547,0.036609896,0.037,ILF3,-,ENSG00000129351,31507,"Exon (uc002mpk.2/3609, exon 6 of 18)",TxEx1,None,TRUE,chr19:10789317,chr9:21198183
cg04499301,-0.006578587,-0.0066,ADCY5,+,ENSG00000173175,166250,5' UTR,ReprPC7,None,TRUE,chr3:123066722,chr16:35253254
cg04622913,-0.056933359,-0.057,SIM1,-,ENSG00000112246,75062,Distal Intergenic,BivProm1,None,TRUE,chr6:100729599,NA
cg04876145,0.02293985,0.023,U2AF2,-,ENSG00000063244,20667,"Intron (uc002qlt.3/11338, intron 5 of 11)",TxEx1,None,TRUE,chr19:56173192,NA
cg04928044,0.135123483,0.14,ETF1,+,ENSG00000120705,37208,Promoter (<=1kb),PromF4,None,FALSE,chr5:137878515,chr18:35091216
cg05053358,0.002638893,0.0026,ZNF346,+,ENSG00000113761,58494,"Exon (uc003mfi.3/23567, exon 4 of 7)",TxEx2,None,TRUE,chr5:176471458,NA
cg05061107,-0.054333384,-0.054,SF1,-,ENSG00000168066,4533,3' UTR,TxEnh4,None,TRUE,chr11:64532875,chr19:6376410
cg05078979,-0.025593174,-0.026,BUD13,-,ENSG00000137656,12548,Distal Intergenic,BivProm2,PRC2,TRUE,chr11:116451122,chr9:46251613
cg05196683,0.063478378,0.063,KMT2B,+,ENSG00000272333,20859,"Exon (uc021usu.2/9757, exon 2 of 37)",TxEx4,None,TRUE,chr19:36210426,chr7:31372290
cg05200606,-0.006262783,-0.0063,CCND1,+,ENSG00000110092,13370,"Exon (uc001opa.3/595, exon 2 of 5)",PromF5,None,FALSE,chr11:69457819,chr7:152123986
cg05216621,0.228605033,0.23,BTRC,+,ENSG00000166167,125425,Distal Intergenic,BivProm1,PRC2,TRUE,chr10:103052565,chr19:45376844
cg05260361,-0.0049116,-0.0049,IL20RB,+,ENSG00000174564,30619,Distal Intergenic,Quies1,None,TRUE,chr3:137068437,chr9:100094924
cg05312482,-0.014897984,-0.015,DRGX,+,ENSG00000165606,29902,"Intron (uc010qgq.2/644168, intron 3 of 5)",ReprPC3,None,TRUE,chr10:50596723,chr14:33419903
cg05361761,0.008711761,0.0087,BOLA2,+,ENSG00000183336,649245,"Exon (uc002dvn.3/8448, exon 2 of 11)",BivProm2,None,TRUE,chr16:30021525,chr7:133992117
cg05366606,-0.024154292,-0.024,ZEB2,+,ENSG00000169554,136017,"Intron (uc002tvu.3/9839, intron 6 of 9)",TxEnh8,None,TRUE,chr2:145161430,chr2:44857068
cg05372644,-0.032529963,-0.033,TBX18,+,ENSG00000112837,76093,Distal Intergenic,EnhA2,None,TRUE,chr6:85256356,chr9:87451931
cg05373603,-0.0373616,-0.037,ZNF827,+,ENSG00000151612,177720,Promoter (<=1kb),PromF4,None,TRUE,chr4:146859450,chr8:81552694
cg05415282,-0.000223025,-0.00022,HOXB5,-,ENSG00000120075,2485,Promoter (<=1kb),BivProm1,PRC2,FALSE,chr17:46670541,chr11:96165430
cg05444660,-0.027257518,-0.027,C1orf87,+,ENSG00000162598,84619,Distal Intergenic,EnhWk4,None,TRUE,chr1:61028981,chr4:96947822
cg05570491,-0.004106531,-0.0041,HIVEP3,-,ENSG00000127124,412461,Promoter (<=1kb),PromF5,PRC2,TRUE,chr1:42384437,chr4:119487040
cg05613307,0.134558281,0.13,NA,+,NA,4443,Distal Intergenic,ReprPC1,PRC2,FALSE,chr4:1399123,chr5:33775677
cg05659128,-0.001214654,-0.0012,PTPN4,-,ENSG00000088179,225268,"Exon (uc002tmf.2/5775, exon 2 of 27)",EnhA3,None,TRUE,chr2:120567439,chr1:121699027
cg05751066,0.059031754,0.059,CLUH,-,ENSG00000132361,14114,"Exon (uc002fux.1/23277, exon 8 of 24)",TxEx3,None,FALSE,chr17:2601824,NA
cg05866252,-0.076443818,-0.076,EDN2,-,ENSG00000127129,5429,Distal Intergenic,BivProm2,None,TRUE,chr1:41846718,chr4:119942362
cg05895882,0.002507117,0.0025,HOXC12,+,ENSG00000123407,1637,"Exon (uc010soq.2/3228, exon 2 of 2)",ReprPC1,PRC2,TRUE,chr12:54350231,chr15:102768829
cg06363517,-0.238786334,-0.24,XKR6,-,ENSG00000171044,305219,Promoter (<=1kb),PromF5,PRC2,TRUE,chr8:11058071,chr14:64226134
cg06433674,-0.03068086,-0.031,TFAP2C,+,ENSG00000087510,9981,Promoter (<=1kb),BivProm1,None,FALSE,chr20:55204597,chr2:172375331
cg06438063,0.070626066,0.071,BICD1,+,ENSG00000151746,270957,"Exon (uc001rku.3/636, exon 8 of 10)",TxEx3,None,TRUE,chr12:32491874,chr6:149469029
cg06683245,0.087140801,0.087,LDB1,-,ENSG00000198728,12886,"Exon (uc001kuk.4/8861, exon 11 of 11)",TxEx3,None,TRUE,chr10:103867984,chr19:46107735
cg06760134,0.008669918,0.0087,TFEC,+,ENSG00000105967,219945,"Intron (uc011kmw.2/22797, intron 1 of 8)",EnhA17,None,TRUE,chr7:115775556,chr6:16942299
cg06763662,0.131254194,0.13,PKN2,+,ENSG00000065243,152017,Distal Intergenic,BivProm4,None,TRUE,chr1:88928116,chr3:142764241
cg06786029,0.036063687,0.036,ZBTB44,-,ENSG00000196323,88034,"Exon (uc001qga.3/29068, exon 5 of 8)",TxEx2,None,TRUE,chr11:130106811,chr9:30874420
cg06790804,0.002160549,0.0022,FRMD7,+,ENSG00000165694,17271,"Exon (uc022cdy.1/90167, exon 3 of 8)",ReprPC8,None,TRUE,chr23:131219674,chr20:48254921
cg06837339,-0.006291581,-0.0063,PDE11A,-,ENSG00000128655,485090,"Intron (uc002ulp.3/50940, intron 10 of 16)",ReprPC4,None,TRUE,chr2:178570550,chr2:75892050
cg06871806,0.030306508,0.03,TENM2,+,ENSG00000145934,979320,"Exon (uc010jjd.3/57451, exon 12 of 29)",TxWk2,None,TRUE,chr5:167553954,chr11:35953067
cg06908862,-0.014177802,-0.014,NKX2-2,+,ENSG00000125820,3005,Promoter (<=1kb),BivProm2,None,TRUE,chr20:21495363,NA
cg07047255,0.033146923,0.033,SON,-,ENSG00000159140,17624,"Intron (uc002ysc.3/6651, intron 4 of 6)",TxEx1,None,TRUE,chr21:34930034,chr16:91662919
cg07094321,0.063397395,0.063,CDH23,-,ENSG00000107736,419014,"Intron (uc001jry.3/64072, intron 13 of 24)",EnhWk8,None,TRUE,chr10:73417603,chr10:59919784
cg07342607,-0.044290585,-0.044,GALR1,-,ENSG00000166573,20089,Distal Intergenic,Quies2,None,TRUE,chr18:75545092,chr18:82049306
cg07440346,-0.002859003,-0.0029,BOLA2,-,ENSG00000183336,649245,5' UTR,PromF2,None,TRUE,chr16:30106716,chr7:133921323
cg07600198,0.196551656,0.2,RAB22A,+,ENSG00000124209,57793,"Exon (uc002xyz.3/57403, exon 3 of 7)",Tx4,None,TRUE,chr20:56918853,chr2:173513727
cg07724254,-0.001674198,-0.0017,EHBP1,+,ENSG00000115504,372636,"Intron (uc010fcp.3/23301, intron 14 of 22)",TxEnh5,None,TRUE,chr2:63194274,chr11:21979066
cg07792031,0.063397277,0.063,VSTM2L,+,ENSG00000132821,42249,"Intron (uc002xhk.4/128434, intron 3 of 3)",ReprPC6,None,TRUE,chr20:36568509,chr2:157767168
cg07803121,0.013206511,0.013,ADGRB2,-,ENSG00000121753,36931,"Exon (uc010ogp.2/576, exon 21 of 29)",Quies3,None,TRUE,chr1:32200828,chr4:129692232
cg07998356,-0.015376611,-0.015,CDON,+,ENSG00000064309,106475,"Intron (uc001qdc.4/50937, intron 1 of 19)",BivProm4,None,TRUE,chr11:125929485,chr9:35232302
cg08070771,0.05999496,0.06,ZIC4,+,ENSG00000174963,20762,Promoter (1-2kb),BivProm2,PRC2,TRUE,chr3:147125758,chr9:91262293
cg08194812,0.002451234,0.0025,NRXN1,+,ENSG00000179915,1114032,"Intron (uc002rxb.4/9378, intron 1 of 16)",HET1,None,TRUE,chr2:50848121,NA
cg08212459,0.045179134,0.045,TBCA,+,ENSG00000171530,85112,Distal Intergenic,BivProm3,None,TRUE,chr5:77143637,chr13:95477018
cg08255577,-0.158286828,-0.16,ATOH8,-,ENSG00000168874,37598,Promoter (<=1kb),PromF5,PRC2,FALSE,chr2:85981068,chr6:72185453
cg08269102,0.004611438,0.0046,SPRED2,+,ENSG00000198369,121672,"Exon (uc010fcw.3/200734, exon 2 of 6)",TxEnh3,None,TRUE,chr2:65571896,chr11:19898256
cg08667379,0.033308358,0.033,PTPRA,+,ENSG00000132670,174491,"Exon (uc002whj.3/5786, exon 26 of 28)",TxEx2,None,TRUE,chr20:3016534,NA
cg08682916,-0.038323593,-0.038,VRK1,-,ENSG00000100749,84268,Distal Intergenic,EnhWk4,None,TRUE,chr14:97559226,chr12:107465325
cg08700089,0.016502636,0.017,TNR,-,ENSG00000116147,420818,"Exon (uc001gkp.1/7143, exon 3 of 21)",ReprPC5,None,TRUE,chr1:175365878,chr1:161788372
cg08703210,-0.10560033,-0.11,FOXH1,+,ENSG00000160973,2604,"Exon (uc003zdc.3/8928, exon 3 of 3)",BivProm2,None,FALSE,chr8:145700392,chr15:76499523
cg08706469,0.058885678,0.059,HECTD4,+,ENSG00000173064,221905,3' UTR,Tx5,None,TRUE,chr12:112687978,chr5:121754429
cg08787394,-0.023284091,-0.023,ATP5MC3,+,ENSG00000154518,5505,Distal Intergenic,Acet2,None,TRUE,chr2:176355326,chr2:74007134
cg08815464,0.047394234,0.047,FAAHP1,+,NA,11876,Distal Intergenic,ReprPC6,None,TRUE,chr1:46921861,chr4:115645256
cg09058643,0.023366747,0.023,TTN,-,ENSG00000155657,281434,5' UTR,EnhWk2,None,TRUE,chr2:179669327,chr2:76818197
cg09065756,0.02131692,0.021,TMEFF2,+,ENSG00000144339,245873,3' UTR,Acet6,None,TRUE,chr2:192815049,NA
cg09067976,-0.056650144,-0.057,PAX7,+,ENSG00000009709,117861,"Intron (uc001bay.3/5081, intron 4 of 7)",BivProm2,PRC2,FALSE,chr1:18973303,chr4:139374139
cg09070708,-0.052303008,-0.052,ZNF536,+,ENSG00000198597,185638,Distal Intergenic,EnhA17,None,TRUE,chr19:30767983,chr7:38508559
cg09103452,0.091921045,0.092,GATA3-AS1,-,ENSG00000197308,3035,Distal Intergenic,ReprPC1,None,TRUE,chr10:8082953,chr2:9814204
cg09122966,0.078194732,0.078,COLCA1,+,ENSG00000196167,6426,"Exon (uc001pld.3/399948, exon 2 of 2)",ReprPC2,None,TRUE,chr11:111169043,chr9:51087949
cg09311009,0.069755956,0.07,TPM3,+,ENSG00000143549,27946,3' UTR,TxEnh6,None,TRUE,chr1:154131466,chr3:89902354
cg09316860,-0.060908199,-0.061,PEX14,-,ENSG00000142655,155813,"Intron (uc009vmu.1/5195, intron 3 of 4)",EnhA5,None,TRUE,chr1:10658837,chr4:148358729
cg09438419,-0.014379005,-0.014,TCF7L2,-,ENSG00000148737,217428,Distal Intergenic,EnhA18,None,TRUE,chr10:114647166,chr19:55769707
cg09623277,0.017514993,0.018,TSHZ2,+,ENSG00000182463,522924,Distal Intergenic,ReprPC4,None,TRUE,chr20:51380163,chr2:169270924
cg09624614,-0.009698464,-0.0097,EDN2,+,ENSG00000127129,5429,Distal Intergenic,PromF1,None,TRUE,chr1:41853388,chr4:119935032
cg09625554,0.011460465,0.011,LOXL1-AS1,+,ENSG00000261801,10781,"Exon (uc002awc.1/4016, exon 1 of 7)",PromF5,None,FALSE,chr15:74219242,chr9:58160575
cg09671306,0.038530405,0.039,SYNGAP1,-,ENSG00000197283,33620,"Intron (uc010juy.4/8831, intron 10 of 17)",TxEx3,None,TRUE,chr6:33408453,chr17:27096503
cg09837345,-0.055822221,-0.056,PSME3,-,ENSG00000131467,19335,5' UTR,PromF4,None,FALSE,chr17:40985644,NA
cg09925925,0.049184591,0.049,PRRC2B,-,ENSG00000130723,52994,5' UTR,Tx4,None,TRUE,chr9:134305537,NA
cg10106561,-0.057157795,-0.057,ADCY3,-,ENSG00000138031,100017,"Exon (uc002rfs.4/109, exon 13 of 21)",EnhA1,None,TRUE,chr2:25050913,chr12:4206481
cg10121219,0.030709923,0.031,PHLPP2,-,ENSG00000040199,69853,Promoter (<=1kb),Tx4,None,TRUE,chr16:71748643,chr8:112400763
cg10147012,-0.062876901,-0.063,HAND1,-,ENSG00000113196,3293,Promoter (4-5kb),ReprPC1,PRC2,FALSE,chr5:153862331,chr11:57650636
cg10347306,0.000457174,0.00046,BARHL2,-,ENSG00000143032,5216,Promoter (8-9kb),BivProm2,PRC2,FALSE,chr1:91191716,chr5:106895369
cg10412399,0.014285017,0.014,PTPN5,+,ENSG00000110786,64794,"Intron (uc001mpb.4/84867, intron 3 of 14)",ReprPC4,None,TRUE,chr11:18765912,chr7:54347112
cg10497423,-0.00339134,-0.0034,PCDH8,-,ENSG00000136099,4667,Distal Intergenic,EnhWk4,None,TRUE,chr13:53508255,chr14:80282472
cg10587356,0.003418532,0.0034,DOT1L,-,ENSG00000104885,68430,"Exon (uc002lvb.4/84444, exon 9 of 28)",TxEx3,None,TRUE,chr19:2202757,chr10:80241066
cg10709038,-0.020410099,-0.02,GBA3,-,ENSG00000249948,105484,Distal Intergenic,Quies2,None,TRUE,chr4:22879256,chr5:50848907
cg10857737,0.007058249,0.0071,ARHGAP35,+,ENSG00000160007,86401,Promoter (<=1kb),TxEx1,None,TRUE,chr19:47421931,NA
cg10860298,0.0173417,0.017,TMEM161B-AS1,+,ENSG00000247828,167793,"Intron (uc003kjd.3/100505894, intron 2 of 3)",EnhA6,None,TRUE,chr5:87687029,chr13:84205378
cg10927578,0.011307395,0.011,MAGI1,+,ENSG00000151276,684604,"Exon (uc003dmm.3/9223, exon 14 of 25)",TxEnh5,None,TRUE,chr3:65376816,chr6:93657997
cg11212712,0.035253823,0.035,HOXC4,-,ENSG00000198353,39173,3' UTR,ReprPC2,PRC2,TRUE,chr12:54449776,chr15:102867245
cg11319388,-0.006140844,-0.0061,MIR4318,-,ENSG00000266530,81,Distal Intergenic,Quies1,None,TRUE,chr18:36010549,chr18:26872371
cg11499678,0.072980753,0.073,KLF7,+,ENSG00000118263,93109,"Exon (uc002vbz.2/8609, exon 1 of 4)",PromF4,PRC1,TRUE,chr2:208030241,chr1:64167524
cg11801646,0.065532403,0.066,ZNF326,-,ENSG00000162664,11323,Distal Intergenic,ReprPC5,None,TRUE,chr1:90570824,NA
cg11887397,0.06694562,0.067,SENP3-EIF4A1,-,NA,17016,5' UTR,TxEnh4,None,TRUE,chr17:7474806,NA
cg11971995,0.138190311,0.14,ARHGEF33,-,ENSG00000214694,56087,"Exon (uc021vgd.1/100271715, exon 15 of 16)",EnhWk4,None,TRUE,chr2:39193267,chr17:80780798
cg12126471,-0.070551689,-0.071,PELI1,-,ENSG00000197329,51820,"Exon (uc002scr.4/57162, exon 3 of 3)",TxEx2,None,TRUE,chr2:64322159,chr11:21048202
cg12181207,-0.0171663,-0.017,ZBTB40,+,ENSG00000184677,79307,Promoter (<=1kb),PromF4,None,FALSE,chr1:22778511,chr4:136604546
cg12236455,0.004696022,0.0047,SDCCAG8,+,ENSG00000054282,244087,"Intron (uc001hzw.3/10806, intron 16 of 17)",EnhA17,None,TRUE,chr1:243639533,chr1:178929434
cg12313719,-0.003820604,-0.0038,MSL2,+,ENSG00000174579,46929,Promoter (<=1kb),PromF4,None,TRUE,chr3:135913889,chr9:100979068
cg12394251,0.007836431,0.0078,CBL,+,ENSG00000110395,101874,"Exon (uc001pwe.4/867, exon 2 of 16)",TxEx1,None,TRUE,chr11:119103248,chr9:44009199
cg12485783,0.000735411,0.00074,SKAP1,-,ENSG00000141293,296793,"Intron (uc002ini.1/8631, intron 11 of 12)",BivProm3,PRC1,TRUE,chr17:46226930,NA
cg12782933,-0.005504242,-0.0055,BUD13,+,ENSG00000137656,24829,Distal Intergenic,BivProm2,PRC2,FALSE,chr11:116451038,chr9:46251697
cg12935694,0.158205165,0.16,EIF4G2,+,ENSG00000110321,10951,"Exon (uc001mjb.3/1982, exon 13 of 22)",TxEx1,None,TRUE,chr11:10823751,NA
cg12969847,0.022249187,0.022,NT5C2,-,ENSG00000076685,105290,5' UTR,TxWk1,None,TRUE,chr10:104899222,chr19:46998811
cg13076512,0.033004057,0.033,ASS1,+,ENSG00000130707,56568,"Exon (uc004bzm.3/445, exon 13 of 16)",TxWk1,None,TRUE,chr9:133364727,chr2:31365637
cg13107760,-0.0551693,-0.055,ZNF804A,+,ENSG00000170396,341122,Promoter (<=1kb),TSS2,PRC2,FALSE,chr2:185463209,NA
cg13222741,-0.01650843,-0.017,LMO1,+,ENSG00000166407,44332,Distal Intergenic,ReprPC4,None,TRUE,chr11:8383976,chr7:116405476
