CpG ID,Coefficient,Coefficient rounded,Symbol,strand,ENSEMBL,Gene Length,annotation,Chromatin State,PRC Binding Site,CpG Island,Human hg38,Mouse mm9
cg01475649,-0.068726191,-0.069,C1D,+,ENSG00000197223,10938,Distal Intergenic,EnhA1,None,TRUE,chr2:68073599,NA
cg01584181,0.043180266,0.043,CTNND2,+,ENSG00000169862,932159,"Exon (uc011cmx.1/1501, exon 2 of 17)",TxWk2,None,TRUE,chr5:11364842,chr15:30599326
cg01716627,0.490140044,0.49,SCN3A,+,ENSG00000153253,116548,"Exon (uc002ucx.3/6328, exon 13 of 28)",Acet1,None,TRUE,chr2:165997321,chr2:65346532
cg01915599,-0.174691723,-0.17,PURA,+,ENSG00000185129,5294,Promoter (<=1kb),PromF4,PRC2,FALSE,chr5:139494256,chr18:36447302
cg02074136,-0.014270759,-0.014,BNC2,-,ENSG00000173068,461286,"Intron (uc011lmv.2/54796, intron 1 of 4)",EnhA2,None,TRUE,chr9:16571647,chr4:84049910
cg02167097,0.003087691,0.0031,KIAA0355,-,ENSG00000166398,101016,5' UTR,TxEnh4,None,TRUE,chr19:34791424,chr7:35070169
cg02172466,-0.003474061,-0.0035,CASZ1,-,ENSG00000130940,160068,"Exon (uc001aro.4/54897, exon 16 of 21)",TxWk2,None,FALSE,chr1:10708003,chr4:148318559
cg02330041,0.139689522,0.14,HOXD10,-,ENSG00000128710,3179,Promoter (<=1kb),ReprPC1,PRC2,TRUE,chr2:176981812,chr2:74530287
cg02391262,-0.631742983,-0.63,TRIM8,+,ENSG00000171206,13825,Promoter (<=1kb),PromF4,None,FALSE,chr10:104404795,chr19:46577354
cg02426735,-0.070327499,-0.07,HOTAIRM1,+,ENSG00000233429,4165,"Intron (uc003syg.3/100506311, intron 1 of 2)",BivProm4,PRC2,TRUE,chr7:27138601,chr6:52111123
cg02474352,0.022933073,0.023,AP3B1,-,ENSG00000132842,292430,"Intron (uc003kfj.4/8546, intron 22 of 26)",TxWk2,None,TRUE,chr5:77358683,chr13:95281584
cg02628016,0.000270199,0.00027,KLHL24,+,ENSG00000114796,48894,"Exon (uc003flv.3/54800, exon 5 of 8)",TxEnh8,None,TRUE,chr3:183382726,chr16:20115974
cg02635768,-0.000563926,-0.00056,SSBP2,-,ENSG00000145687,333894,Promoter (<=1kb),PromF4,PRC1,FALSE,chr5:81046870,chr13:91600782
cg02714778,0.002501887,0.0025,GIT1,-,ENSG00000108262,16124,"Exon (uc002hef.2/28964, exon 20 of 20)",TxEnh4,None,TRUE,chr17:27901830,chr11:77319999
cg03010713,-0.061786854,-0.062,IRX5,+,ENSG00000176842,2412,Distal Intergenic,BivProm2,PRC2,TRUE,chr16:55090972,chr8:94984566
cg03144020,0.116238815,0.12,RIMS1,+,ENSG00000079841,516440,Promoter (<=1kb),BivProm1,None,TRUE,chr6:72596795,chr1:22812494
cg03146625,0.011850192,0.012,HOXC4,+,ENSG00000198353,39173,"Exon (uc001seu.3/3221, exon 4 of 4)",BivProm2,PRC2,TRUE,chr12:54448729,chr15:102866163
cg03214473,-0.027551752,-0.028,ACIN1,+,ENSG00000100813,37050,"Exon (uc001wio.4/22985, exon 2 of 12)",TxEx4,None,TRUE,chr14:23537794,NA
cg03223588,0.026165851,0.026,KCNU1,+,ENSG00000215262,151802,Distal Intergenic,ReprPC6,None,TRUE,chr8:37080312,chr8:27615111
cg03264110,-0.077260622,-0.077,ZNF423,+,ENSG00000102935,173622,"Intron (uc010vgn.3/23090, intron 3 of 5)",EnhA3,None,TRUE,chr16:49630064,chr8:90274134
cg03280886,-0.116403287,-0.12,DNAJB5,-,ENSG00000137094,8793,Promoter (2-3kb),EnhA8,None,TRUE,chr9:34986795,chr4:42960023
cg03330145,-0.001584765,-0.0016,LINC00900,-,NA,3177,Distal Intergenic,EnhWk4,None,TRUE,chr11:116132212,chr9:46559443
cg03488359,0.008577785,0.0086,FAM219A,+,ENSG00000164970,60387,"Exon (uc003zuj.3/203259, exon 2 of 6)",Tx8,None,TRUE,chr9:34405919,chr4:41471404
cg03537184,-0.215443645,-0.22,CLASP2,-,ENSG00000163539,221967,5' UTR,PromF5,None,TRUE,chr3:33686800,chr9:113721857
cg03537644,-0.010465195,-0.01,PLD3,+,ENSG00000105223,19455,"Exon (uc021uus.1/23646, exon 4 of 5)",TxEx4,None,TRUE,chr19:40872727,chr7:28326799
cg03557306,-0.057966217,-0.058,OTX2-AS1,+,ENSG00000248550,117650,Distal Intergenic,EnhWk4,None,TRUE,chr14:57429587,chr14:49432943
cg03653554,-0.102059695,-0.1,CAMTA1,-,ENSG00000171735,984383,"Intron (uc001aoi.3/23261, intron 4 of 22)",Quies3,None,TRUE,chr1:7200853,chr4:150923404
cg03840462,0.169292691,0.17,BCOR,+,ENSG00000183337,126084,"Intron (uc004deo.4/54880, intron 1 of 13)",TSS2,None,FALSE,chr23:40013580,chr20:11713112
cg03957964,-0.415719919,-0.42,KCNMA1,-,ENSG00000156113,768219,Promoter (<=1kb),PromF5,PRC2,FALSE,chr10:79397071,chr14:24823018
cg04097289,0.011559747,0.012,SMUG1,+,ENSG00000123415,7503,Distal Intergenic,EnhWk2,None,TRUE,chr12:54555084,chr15:102966266
cg04298620,0.130415876,0.13,TNIK,+,ENSG00000154310,397906,"Exon (uc003fhh.2/23043, exon 14 of 33)",Tx5,None,TRUE,chr3:170857332,chr3:28493841
cg04486940,-0.045189598,-0.045,ERI3,+,ENSG00000117419,134198,"Intron (uc010okv.2/79033, intron 5 of 6)",EnhA14,None,TRUE,chr1:44727010,chr4:117309949
cg04490547,0.041217237,0.041,ILF3,-,ENSG00000129351,31507,"Exon (uc002mpk.2/3609, exon 6 of 18)",TxEx1,None,TRUE,chr19:10789317,chr9:21198183
cg04499301,-0.111510795,-0.11,ADCY5,+,ENSG00000173175,166250,5' UTR,ReprPC7,None,TRUE,chr3:123066722,chr16:35253254
cg04503340,0.065287586,0.065,AP3B1,+,ENSG00000132842,292430,"Intron (uc003kfj.4/8546, intron 25 of 26)",EnhA17,None,TRUE,chr5:77313271,NA
cg04622913,-0.003550797,-0.0036,SIM1,-,ENSG00000112246,75062,Distal Intergenic,BivProm1,None,TRUE,chr6:100729599,NA
cg05053358,0.023059464,0.023,ZNF346,+,ENSG00000113761,58494,"Exon (uc003mfi.3/23567, exon 4 of 7)",TxEx2,None,TRUE,chr5:176471458,NA
cg05191666,0.000936112,0.00094,KLHL14,-,ENSG00000197705,100341,Distal Intergenic,EnhA7,None,TRUE,chr18:30448507,chr18:21887655
cg05200606,-0.016834766,-0.017,CCND1,+,ENSG00000110092,13370,"Exon (uc001opa.3/595, exon 2 of 5)",PromF5,None,FALSE,chr11:69457819,chr7:152123986
cg05216621,0.098496451,0.098,BTRC,+,ENSG00000166167,125425,Distal Intergenic,BivProm1,PRC2,TRUE,chr10:103052565,chr19:45376844
cg05312482,-0.069870524,-0.07,DRGX,+,ENSG00000165606,29902,"Intron (uc010qgq.2/644168, intron 3 of 5)",ReprPC3,None,TRUE,chr10:50596723,chr14:33419903
cg05373603,-0.080288117,-0.08,ZNF827,+,ENSG00000151612,177720,Promoter (<=1kb),PromF4,None,TRUE,chr4:146859450,chr8:81552694
cg05396320,0.022563093,0.023,CACNA1C,+,ENSG00000151067,61741,Promoter (<=1kb),ReprPC4,None,TRUE,chr12:2614019,chr6:118691980
cg05454894,0.080457628,0.08,NFIB,+,ENSG00000147862,317141,3' UTR,TxWk1,None,TRUE,chr9:14086847,chr4:81941212
cg05497416,-0.022080524,-0.022,LOC100287010,-,NA,29483,Promoter (8-9kb),EnhA6,None,TRUE,chr2:105033269,chr1:42300029
cg05571450,0.023368182,0.023,PDLIM4,-,ENSG00000131435,15797,"Intron (uc003kwn.3/8572, intron 2 of 6)",EnhA3,None,TRUE,chr5:131601589,chr11:53874060
cg05613307,0.008242787,0.0082,NA,+,NA,4443,Distal Intergenic,ReprPC1,PRC2,FALSE,chr4:1399123,chr5:33775677
cg05664157,-0.034246104,-0.034,PRPF38B,+,ENSG00000134186,9491,"Intron (uc001dvv.4/55119, intron 1 of 5)",PromF3,None,TRUE,chr1:109236131,chr3:108713393
cg05751066,0.059862834,0.06,CLUH,-,ENSG00000132361,14114,"Exon (uc002fux.1/23277, exon 8 of 24)",TxEx3,None,FALSE,chr17:2601824,NA
cg05797975,0.183863234,0.18,PRDM13,+,ENSG00000112238,8805,Promoter (2-3kb),ReprPC1,PRC2,TRUE,chr6:100052452,chr4:21615114
cg05885555,-0.017989659,-0.018,PKN2,+,ENSG00000065243,152017,Distal Intergenic,Acet3,None,TRUE,chr1:88565630,chr3:143128940
cg05895882,0.013879724,0.014,HOXC12,+,ENSG00000123407,1637,"Exon (uc010soq.2/3228, exon 2 of 2)",ReprPC1,PRC2,TRUE,chr12:54350231,chr15:102768829
cg05929136,-0.045192787,-0.045,CDH22,+,ENSG00000149654,134766,Promoter (4-5kb),BivProm2,PRC2,FALSE,chr20:44941267,NA
cg05933505,-0.114153284,-0.11,WASF2,+,ENSG00000158195,85945,"Exon (uc001bof.2/10163, exon 2 of 9)",PromF2,None,TRUE,chr1:27755350,chr4:132732447
cg06105149,0.011325674,0.011,CDH22,+,ENSG00000149654,134766,Distal Intergenic,ReprPC3,None,TRUE,chr20:44957885,chr2:165080308
cg06363517,-0.224247619,-0.22,XKR6,-,ENSG00000171044,305219,Promoter (<=1kb),PromF5,PRC2,TRUE,chr8:11058071,chr14:64226134
cg06411456,-0.040985314,-0.041,HOXB5,-,ENSG00000120075,2485,Promoter (<=1kb),BivProm4,PRC2,FALSE,chr17:46671103,chr11:96164868
cg06426449,0.023327992,0.023,RNF165,+,ENSG00000141622,134011,"Exon (uc031rie.1/494470, exon 2 of 2)",BivProm3,None,TRUE,chr18:43917471,chr18:77800546
cg06438063,0.030071031,0.03,BICD1,+,ENSG00000151746,270957,"Exon (uc001rku.3/636, exon 8 of 10)",TxEx3,None,TRUE,chr12:32491874,chr6:149469029
cg06520878,0.157550967,0.16,SPATS1,+,ENSG00000249481,104102,Promoter (<=1kb),ReprPC1,None,TRUE,chr6:44240949,chr17:45684003
cg06522774,0.000955604,0.00096,FGF8,-,ENSG00000107831,5873,Distal Intergenic,EnhA19,None,TRUE,chr10:103509218,chr19:45792355
cg06760134,0.106816887,0.11,TFEC,+,ENSG00000105967,219945,"Intron (uc011kmw.2/22797, intron 1 of 8)",EnhA17,None,TRUE,chr7:115775556,chr6:16942299
cg06763486,0.005483156,0.0055,PLCL1,+,ENSG00000115896,345183,"Intron (uc002uux.1/uc002uux.1, intron 1 of 1)",EnhWk8,None,TRUE,chr2:199202517,chr1:55971492
cg06763662,0.040814446,0.041,PKN2,+,ENSG00000065243,152017,Distal Intergenic,BivProm4,None,TRUE,chr1:88928116,chr3:142764241
cg06786029,0.082307411,0.082,ZBTB44,-,ENSG00000196323,88034,"Exon (uc001qga.3/29068, exon 5 of 8)",TxEx2,None,TRUE,chr11:130106811,chr9:30874420
cg06790804,0.025207605,0.025,FRMD7,+,ENSG00000165694,17271,"Exon (uc022cdy.1/90167, exon 3 of 8)",ReprPC8,None,TRUE,chr23:131219674,chr20:48254921
cg07086730,-0.035933888,-0.036,LRMDA,+,ENSG00000148655,774608,Distal Intergenic,EnhA17,None,TRUE,chr10:77467952,chr14:23074861
cg07127398,0.023739465,0.024,PSD2,+,ENSG00000146005,48643,Distal Intergenic,EnhWk2,None,FALSE,chr5:139120198,chr18:36073022
cg07136911,0.018594802,0.019,RMST,+,ENSG00000255794,68746,Promoter (2-3kb),BivProm3,None,TRUE,chr12:97856592,chr10:91627904
cg07600198,0.161516868,0.16,RAB22A,+,ENSG00000124209,57793,"Exon (uc002xyz.3/57403, exon 3 of 7)",Tx4,None,TRUE,chr20:56918853,chr2:173513727
cg07792031,0.069943105,0.07,VSTM2L,+,ENSG00000132821,42249,"Intron (uc002xhk.4/128434, intron 3 of 3)",ReprPC6,None,TRUE,chr20:36568509,chr2:157767168
cg07991667,0.040334858,0.04,USP35,+,ENSG00000118369,21933,5' UTR,TxEnh5,None,FALSE,chr11:77907901,chr7:104473864
cg08013146,-0.030275054,-0.03,HOXB6,+,ENSG00000108511,9236,5' UTR,PromF5,PRC2,FALSE,chr17:46675546,chr11:96160456
cg08013479,0.040449927,0.04,MIR124-2HG,-,ENSG00000254377,10068,Distal Intergenic,EnhWk8,None,TRUE,chr8:65193704,NA
cg08060524,0.068422561,0.068,CRYZ,+,ENSG00000116791,27921,Distal Intergenic,ReprPC4,None,TRUE,chr1:75243983,chr3:154228665
cg08179056,0.106067661,0.11,BCOR,-,ENSG00000183337,46221,"Intron (uc004dem.4/54880, intron 1 of 14)",TxEnh2,None,TRUE,chr23:39950511,chr20:11650990
cg08212459,0.033747993,0.034,TBCA,+,ENSG00000171530,85112,Distal Intergenic,BivProm3,None,TRUE,chr5:77143637,chr13:95477018
cg08255577,-0.000742412,-0.00074,ATOH8,-,ENSG00000168874,37598,Promoter (<=1kb),PromF5,PRC2,FALSE,chr2:85981068,chr6:72185453
cg08332866,-0.016332083,-0.016,MRM1,-,ENSG00000278619,7017,Distal Intergenic,ReprPC5,None,TRUE,chr17:35017916,chr11:84574495
cg08404227,-0.157532933,-0.16,SLCO3A1,-,ENSG00000176463,318728,Promoter (<=1kb),TSS1,None,FALSE,chr15:92397279,chr7:81699335
cg08605439,0.008596301,0.0086,ROBO2,-,ENSG00000185008,1712470,"Intron (uc021xat.1/6092, intron 2 of 25)",EnhWk4,None,TRUE,chr3:77184014,chr16:74324836
cg08667379,0.048881114,0.049,PTPRA,+,ENSG00000132670,174491,"Exon (uc002whj.3/5786, exon 26 of 28)",TxEx2,None,TRUE,chr20:3016534,NA
cg08682916,-0.054880008,-0.055,VRK1,-,ENSG00000100749,84268,Distal Intergenic,EnhWk4,None,TRUE,chr14:97559226,chr12:107465325
cg08703210,-0.097682949,-0.098,FOXH1,+,ENSG00000160973,2604,"Exon (uc003zdc.3/8928, exon 3 of 3)",BivProm2,None,FALSE,chr8:145700392,chr15:76499523
cg08815464,0.022125245,0.022,FAAHP1,+,NA,11876,Distal Intergenic,ReprPC6,None,TRUE,chr1:46921861,chr4:115645256
cg09058643,0.037575605,0.038,TTN,-,ENSG00000155657,281434,5' UTR,EnhWk2,None,TRUE,chr2:179669327,chr2:76818197
cg09103452,0.144599244,0.14,GATA3-AS1,-,ENSG00000197308,3035,Distal Intergenic,ReprPC1,None,TRUE,chr10:8082953,chr2:9814204
cg09216777,-0.079522873,-0.08,FOXP2,-,ENSG00000128573,607463,"Intron (uc003vgu.3/93986, intron 14 of 19)",TxWk1,None,TRUE,chr7:114295495,chr6:15357107
cg09311009,0.064157781,0.064,TPM3,+,ENSG00000143549,27946,3' UTR,TxEnh6,None,TRUE,chr1:154131466,chr3:89902354
cg09438419,-0.097469213,-0.097,TCF7L2,-,ENSG00000148737,217428,Distal Intergenic,EnhA18,None,TRUE,chr10:114647166,chr19:55769707
cg09532103,-0.030791737,-0.031,NFIX,+,ENSG00000008441,103027,"Intron (uc002mwd.3/4784, intron 2 of 9)",BivProm4,PRC2,TRUE,chr19:13137423,chr8:87294727
cg09624614,-0.027621061,-0.028,EDN2,+,ENSG00000127129,5429,Distal Intergenic,PromF1,None,TRUE,chr1:41853388,chr4:119935032
cg09625554,0.069712281,0.07,LOXL1-AS1,+,ENSG00000261801,10781,"Exon (uc002awc.1/4016, exon 1 of 7)",PromF5,None,FALSE,chr15:74219242,chr9:58160575
cg09775241,-0.167641446,-0.17,PIP4K2B,+,ENSG00000276293,34215,Promoter (<=1kb),PromF4,None,TRUE,chr17:36955560,chr11:97605801
cg09837345,-0.036423095,-0.036,PSME3,-,ENSG00000131467,19335,5' UTR,PromF4,None,FALSE,chr17:40985644,NA
cg09846548,0.008074237,0.0081,DDX5,+,ENSG00000108654,7577,"Exon (uc010deh.2/1655, exon 12 of 13)",TxEx4,None,TRUE,chr17:62496745,NA
cg09925925,0.113628238,0.11,PRRC2B,-,ENSG00000130723,52994,5' UTR,Tx4,None,TRUE,chr9:134305537,NA
cg09955247,0.001160493,0.0012,PAX2,+,ENSG00000075891,84231,Distal Intergenic,BivProm2,None,FALSE,chr10:102415423,chr19:44745766
cg10121219,0.013890017,0.014,PHLPP2,-,ENSG00000040199,69853,Promoter (<=1kb),Tx4,None,TRUE,chr16:71748643,chr8:112400763
cg10147012,-0.138099946,-0.14,HAND1,-,ENSG00000113196,3293,Promoter (4-5kb),ReprPC1,PRC2,FALSE,chr5:153862331,chr11:57650636
cg10196526,-0.032570933,-0.033,CADPS,+,ENSG00000163618,477044,"Intron (uc003dlj.1/8618, intron 8 of 9)",EnhA18,None,TRUE,chr3:62401132,chr14:13221583
cg10903296,-0.002384436,-0.0024,EFNB3,+,ENSG00000108947,6174,"Intron (uc002gis.3/1949, intron 1 of 4)",BivProm3,None,TRUE,chr17:7610974,chr11:69371281
cg10927578,0.048974378,0.049,MAGI1,+,ENSG00000151276,684604,"Exon (uc003dmm.3/9223, exon 14 of 25)",TxEnh5,None,TRUE,chr3:65376816,chr6:93657997
cg11100591,-0.000182395,-0.00018,POU4F3,+,ENSG00000091010,1497,Distal Intergenic,ReprPC3,None,TRUE,chr5:145772074,chr18:42602369
cg11545683,-0.051085129,-0.051,LHX1,-,ENSG00000273706,7144,Promoter (7-8kb),ReprPC1,None,TRUE,chr17:35287682,chr11:84345271
cg11801646,0.009620962,0.0096,ZNF326,-,ENSG00000162664,11323,Distal Intergenic,ReprPC5,None,TRUE,chr1:90570824,NA
cg11803466,-0.052368154,-0.052,SMAD7,-,ENSG00000101665,30859,"Intron (uc010xde.2/4092, intron 1 of 3)",TSS1,None,FALSE,chr18:46474939,chr18:75530415
cg11887397,0.095946816,0.096,SENP3-EIF4A1,-,NA,17016,5' UTR,TxEnh4,None,TRUE,chr17:7474806,NA
cg11971995,0.129853252,0.13,ARHGEF33,-,ENSG00000214694,56087,"Exon (uc021vgd.1/100271715, exon 15 of 16)",EnhWk4,None,TRUE,chr2:39193267,chr17:80780798
cg12181207,-0.029615319,-0.03,ZBTB40,+,ENSG00000184677,79307,Promoter (<=1kb),PromF4,None,FALSE,chr1:22778511,chr4:136604546
cg12313719,-0.13520227,-0.14,MSL2,+,ENSG00000174579,46929,Promoter (<=1kb),PromF4,None,TRUE,chr3:135913889,chr9:100979068
cg12782933,-0.054824243,-0.055,BUD13,+,ENSG00000137656,24829,Distal Intergenic,BivProm2,PRC2,FALSE,chr11:116451038,chr9:46251697
cg12935694,0.062028731,0.062,EIF4G2,+,ENSG00000110321,10951,"Exon (uc001mjb.3/1982, exon 13 of 22)",TxEx1,None,TRUE,chr11:10823751,NA
cg12969847,0.035428524,0.035,NT5C2,-,ENSG00000076685,105290,5' UTR,TxWk1,None,TRUE,chr10:104899222,chr19:46998811
cg13080172,0.025194222,0.025,BCL11B,-,ENSG00000127152,102198,"Exon (uc001yga.3/64919, exon 4 of 4)",znf1,None,FALSE,chr14:99641778,chr12:109154873
cg13107760,-0.029856226,-0.03,ZNF804A,+,ENSG00000170396,341122,Promoter (<=1kb),TSS2,PRC2,FALSE,chr2:185463209,NA
cg13329717,-0.006958564,-0.007,WAC,+,ENSG00000095787,90620,5' UTR,TSS1,None,FALSE,chr10:28822522,chr18:7869586
cg13468491,0.157551538,0.16,PRDM6,-,ENSG00000061455,98905,"Intron (uc003kti.3/93166, intron 3 of 7)",ReprPC6,None,TRUE,chr5:122441703,chr18:53639855
cg13484553,-0.028594931,-0.029,OLFM1,-,ENSG00000130558,45942,"Exon (uc004cfl.4/10439, exon 4 of 6)",Acet1,None,TRUE,chr9:137990330,chr2:28070327
cg13487071,0.008437405,0.0084,TFEC,-,ENSG00000105967,33166,"Exon (uc003vhi.4/uc003vhi.4, exon 2 of 2)",EnhWk3,None,TRUE,chr7:115319361,chr6:16503867
cg13528652,0.607382604,0.61,SYNCRIP,+,ENSG00000135316,33668,"Exon (uc003pkz.2/10492, exon 10 of 10)",TxEx1,None,TRUE,chr6:86324674,chr9:88351176
cg13657699,0.019357565,0.019,TMC1,+,ENSG00000165091,314551,"Exon (uc004aiz.1/117531, exon 15 of 24)",EnhA5,None,TRUE,chr9:75404174,chr19:20901054
cg13750905,0.115857383,0.12,KIFC3,+,ENSG00000140859,44311,"Exon (uc002emp.3/3801, exon 2 of 19)",PromF1,PRC2,TRUE,chr16:57832000,NA
cg13956815,0.060826583,0.061,MIR548AI,+,ENSG00000265226,278492,Distal Intergenic,HET2,None,TRUE,chr14:29850211,NA
cg14119482,-0.001936413,-0.0019,ZIC4,-,ENSG00000174963,20762,Promoter (<=1kb),ReprPC1,PRC2,TRUE,chr3:147124414,chr9:91263800
cg14193568,-0.090801721,-0.091,PRR7,+,ENSG00000131188,9492,5' UTR,PromF3,None,FALSE,chr5:176882113,chr13:55573430
cg14241622,0.085293801,0.085,AKTIP,-,ENSG00000166971,11979,Distal Intergenic,EnhWk3,None,TRUE,chr16:53563547,chr8:93695038
cg14399158,0.04983353,0.05,ZBTB44,-,ENSG00000196323,88034,"Exon (uc001qga.3/29068, exon 5 of 8)",TxEx2,None,TRUE,chr11:130106889,chr9:30874342
cg14561405,0.388236291,0.39,ONECUT2,-,ENSG00000119547,55614,3' UTR,ReprPC6,None,TRUE,chr18:55153457,chr18:64555772
cg14713220,0.004728228,0.0047,TRPS1,-,ENSG00000104447,260505,"Exon (uc011lhy.2/7227, exon 6 of 6)",Tx5,None,TRUE,chr8:116426338,chr15:50492308
cg14736210,0.086028049,0.086,KCNB1,-,ENSG00000158445,110679,Promoter (<=1kb),BivProm3,None,FALSE,chr20:48098642,NA
cg14880389,0.00246828,0.0025,CACNA1C,-,ENSG00000151067,644700,"Exon (uc001qjz.2/775, exon 27 of 47)",TxWk2,None,TRUE,chr12:2717812,NA
cg15030128,-0.008837125,-0.0088,MADD,-,ENSG00000110514,60656,3' UTR,TxEx2,None,TRUE,chr11:47350200,chr2:90978920
cg15051610,-0.005349971,-0.0053,PHF21A,-,ENSG00000135365,192116,Distal Intergenic,ReprPC3,None,TRUE,chr11:46156640,chr2:92005667
cg15103858,0.031699113,0.032,SMAD3,-,ENSG00000166949,129339,Distal Intergenic,EnhWk4,None,TRUE,chr15:67199458,chr9:63728856
cg15436482,-0.005244849,-0.0052,HERPUD1,-,ENSG00000051108,11792,3' UTR,Tx7,None,TRUE,chr16:56977574,chr8:96919041
cg15479466,0.000483936,0.00048,RUNX3,+,ENSG00000020633,35535,Distal Intergenic,ReprPC6,None,TRUE,chr1:25416583,chr4:134582228
cg15701287,-0.00382211,-0.0038,MYO18A,-,ENSG00000196535,48214,"Intron (uc010wbc.1/399687, intron 36 of 36)",TxEx3,None,TRUE,chr17:27408226,chr11:77672269
cg15708887,-0.008146598,-0.0081,TFEC,-,ENSG00000105967,33166,Distal Intergenic,Quies3,None,TRUE,chr7:115313964,chr6:16498312
cg15723635,-0.09903818,-0.099,ZFHX4,+,ENSG00000091656,186007,"Intron (uc003yau.2/79776, intron 4 of 10)",Tx2,None,TRUE,chr8:77720834,chr3:5358047
cg15839373,-0.124576606,-0.12,GATA3-AS1,-,ENSG00000197308,3035,Distal Intergenic,BivProm2,None,TRUE,chr10:8077437,chr2:9819679
cg15906007.2,0.024289278,0.024,DDX17,-,ENSG00000100201,22903,"Exon (uc003avx.4/10521, exon 8 of 13)",TxEx1,None,TRUE,chr22:38890714,NA
cg16208700,0.134596692,0.13,FEZF2,-,ENSG00000153266,3404,Distal Intergenic,ReprPC1,PRC2,TRUE,chr3:62351153,chr14:13170394
cg16235582,0.06495458,0.065,TENM4,+,ENSG00000149256,787368,"Exon (uc021qoa.1/uc021qoa.1, exon 1 of 1)",BivProm4,None,FALSE,chr11:78673212,chr7:103792693
cg16242270,-0.006716755,-0.0067,DMD,+,ENSG00000198947,1293027,"Exon (uc004dcw.2/1756, exon 13 of 51)",ReprPC8,None,TRUE,chr23:32360315,chr20:81174225
cg16542942,-0.043767167,-0.044,GTDC1,-,ENSG00000121964,265566,Distal Intergenic,EnhWk1,None,TRUE,chr2:144599875,NA
cg16573309,0.076912002,0.077,SFTA3,+,ENSG00000229415,46324,"Intron (uc001wtq.3/253970, intron 1 of 5)",ReprPC1,PRC2,TRUE,chr14:36974158,chr12:57621542
cg16602661,0.057194189,0.057,IRX5,+,ENSG00000176842,2412,Distal Intergenic,BivProm2,PRC2,FALSE,chr16:54972641,chr8:94889578
cg16624401,-0.047006263,-0.047,PPARGC1B,-,ENSG00000155846,124771,3' UTR,Tx5,None,TRUE,chr5:149227184,chr18:61458273
cg16675758,-0.016914262,-0.017,LINC00900,-,NA,2747,Distal Intergenic,BivProm2,None,TRUE,chr11:115531171,chr9:47175653
cg16677609,0.028043255,0.028,LINC00595,+,ENSG00000230417,132418,Distal Intergenic,EnhA2,None,TRUE,chr10:80416862,chr14:25928546
cg16731224,0.029927835,0.03,CSNK1D,-,ENSG00000141551,8867,"Exon (uc010dil.3/1453, exon 5 of 6)",TxEnh4,None,TRUE,chr17:80203891,NA
cg16743922,0.07849747,0.078,FBXW4,+,ENSG00000107829,84323,"Intron (uc001kto.3/6468, intron 5 of 8)",TxEnh5,None,TRUE,chr10:103411602,chr19:45691419
cg16767270,-0.066269689,-0.066,PNKD,-,ENSG00000127838,76402,3' UTR,TxWk2,None,TRUE,chr2:219211477,chr1:74400231
cg16925284,-0.020747942,-0.021,TUBA1A,-,ENSG00000167552,4530,Promoter (<=1kb),TSS1,PRC2,FALSE,chr12:49582863,chr15:98783982
cg17019032,-0.020408152,-0.02,SMARCD3,-,ENSG00000082014,9691,"Exon (uc003wjs.3/6604, exon 4 of 13)",TxEnh5,None,TRUE,chr7:150939911,chr5:24101874
