CpG ID,Coefficient,Coefficient rounded,Symbol,strand,ENSEMBL,Gene Length,annotation,Chromatin State,PRC Binding Site,CpG Island,Human hg38,Mouse mm9
cg02784437,-0.069432839,-0.069,SOX1,-,ENSG00000182968,4108,Distal Intergenic,BivProm2,PRC2,FALSE,chr13:112759628,chr8:12431426
cg02841886,-0.003377309,-0.0034,RFX1,-,ENSG00000132005,44793,Promoter (<=1kb),TSS1,PRC1,FALSE,chr19:14117094,chr8:86590772
cg02871478,0.131018964,0.13,TOP1,-,ENSG00000198900,95665,Distal Intergenic,EnhWk4,None,TRUE,chr20:39575156,chr2:160404997
cg03053409,0.011843404,0.012,NCAM1,-,ENSG00000149294,317190,3' UTR,TxWk1,None,TRUE,chr11:113147654,chr9:49311809
cg03119474,-0.015931032,-0.016,PAPOLA,+,ENSG00000090060,64741,Distal Intergenic,BivProm3,None,TRUE,chr14:97080914,chr12:107113343
cg03227556,-0.090938782,-0.091,SOX4,+,ENSG00000124766,4878,3' UTR,TSS2,None,TRUE,chr6:21597259,chr13:29042466
cg03262814,0.099871927,0.1,LRMDA,+,ENSG00000148655,774608,Distal Intergenic,EnhWk4,None,TRUE,chr10:77496222,chr14:23101045
cg03264110,-0.000883737,-0.00088,ZNF423,+,ENSG00000102935,173622,"Intron (uc010vgn.3/23090, intron 3 of 5)",EnhA3,None,TRUE,chr16:49630064,chr8:90274134
cg03280886,-0.005661941,-0.0057,DNAJB5,-,ENSG00000137094,8793,Promoter (2-3kb),EnhA8,None,TRUE,chr9:34986795,chr4:42960023
cg03284649,-0.347376139,-0.35,TCF4,-,ENSG00000196628,99529,Promoter (<=1kb),TSS1,PRC2,TRUE,chr18:52989085,chr18:69753053
cg03481922,0.040038235,0.04,LINC01116,+,NA,7994,Distal Intergenic,EnhA2,None,TRUE,chr2:177574508,chr2:75047247
cg03528345,0.159344831,0.16,KLHL14,-,ENSG00000197705,100341,"Exon (uc002kxm.1/57565, exon 2 of 9)",BivProm2,PRC2,FALSE,chr18:30349975,chr18:21810284
cg03537184,-0.033927708,-0.034,CLASP2,-,ENSG00000163539,221967,5' UTR,PromF5,None,TRUE,chr3:33686800,chr9:113721857
cg03564272,0.004845332,0.0048,CASZ1,+,ENSG00000130940,160068,"Intron (uc001aro.4/54897, intron 4 of 20)",EnhWk2,None,TRUE,chr1:10733673,chr4:148294991
cg03684591,0.070916413,0.071,ANKRD10,-,ENSG00000088448,36530,5' UTR,TxEx1,None,TRUE,chr13:111553030,chr8:11623847
cg03707556,-0.035330326,-0.035,RUNDC3A,-,ENSG00000108309,10112,3' UTR,ReprPC5,None,TRUE,chr17:42395567,chr11:102263398
cg03746968,0.10294322,0.1,ZIC4,-,ENSG00000174963,6383,Distal Intergenic,ReprPC1,PRC2,TRUE,chr3:147098447,NA
cg03798232,-0.052676862,-0.053,SPRY2,-,ENSG00000136158,4975,Promoter (<=1kb),TSS1,PRC2,FALSE,chr13:80915505,chr14:106296599
cg03986375,0.006373937,0.0064,SLC6A17,-,ENSG00000197106,51692,"Exon (uc009wfq.3/388662, exon 12 of 12)",ReprPC6,None,TRUE,chr1:110740838,NA
cg04117904,-0.010190718,-0.01,CADM1,-,ENSG00000182985,335291,"Intron (uc001ppf.4/23705, intron 1 of 8)",Tx2,None,TRUE,chr11:115247849,chr9:47462796
cg04118146,0.652907405,0.65,UCHL3,+,ENSG00000118939,56541,"Intron (uc031qmg.1/7347, intron 6 of 8)",TxEx3,None,TRUE,chr13:76164167,chr14:102084881
cg04148340,0.024529907,0.025,ATXN1L,-,ENSG00000224470,11343,3' UTR,TxEnh4,None,TRUE,chr16:71885693,chr8:112255484
cg04175582,0.047480903,0.047,STAG1,-,ENSG00000118007,415247,"Exon (uc003era.1/10274, exon 31 of 34)",Tx7,None,TRUE,chr3:136060340,chr9:100853957
cg04220619,0.022027367,0.022,MARK2,+,ENSG00000072518,72093,"Exon (uc001nxv.4/2011, exon 16 of 17)",TxEnh4,None,TRUE,chr11:63675716,chr19:7352591
cg04324237,0.494299887,0.49,PRPF38B,+,ENSG00000134186,9491,Promoter (<=1kb),PromF4,PRC1,TRUE,chr1:109235444,chr3:108714126
cg04383857,0.094899099,0.095,TNRC6B,-,ENSG00000100354,290992,"Exon (uc003ayn.4/23112, exon 5 of 21)",TxEnh6,None,TRUE,chr22:40661775,chr15:80710380
cg04486940,-0.119526318,-0.12,ERI3,+,ENSG00000117419,134198,"Intron (uc010okv.2/79033, intron 5 of 6)",EnhA14,None,TRUE,chr1:44727010,chr4:117309949
cg04679148,-0.008186044,-0.0082,CACNA1E,+,ENSG00000198216,323236,Promoter (<=1kb),BivProm2,PRC2,FALSE,chr1:181453055,chr1:156572871
cg04712826,-0.036617771,-0.037,PRUNE2,+,ENSG00000106772,294712,"Exon (uc011lsk.2/158471, exon 6 of 12)",EnhA10,None,TRUE,chr9:79253134,chr19:17273672
cg04725401,0.118163353,0.12,DPF2,-,ENSG00000133884,19227,"Intron (uc001odm.3/5977, intron 6 of 10)",TxEx2,None,TRUE,chr11:65112075,chr19:5903747
cg04745590,-0.041130369,-0.041,TMEM164,+,ENSG00000157600,175154,Promoter (<=1kb),TSS1,None,TRUE,chr23:109246780,chr20:139116885
cg04759874,-0.029369828,-0.029,SIX3,+,ENSG00000138083,4180,Promoter (<=1kb),BivProm2,None,TRUE,chr2:45168793,chr17:86020074
cg04830409,-0.075749484,-0.076,C12orf66,-,ENSG00000174206,29658,Promoter (<=1kb),PromF4,None,FALSE,chr12:64615927,chr10:121177121
cg04840997,0.146725969,0.15,TLX3,-,ENSG00000164438,2851,Distal Intergenic,ReprPC2,None,TRUE,chr5:170749822,chr11:33092449
cg04927657,-0.018878747,-0.019,KDM5C,+,ENSG00000126012,34102,Promoter (<=1kb),PromF4,None,FALSE,chr23:53254027,chr20:148668147
cg04928044,0.005919058,0.0059,ETF1,+,ENSG00000120705,37208,Promoter (<=1kb),PromF4,None,FALSE,chr5:137878515,chr18:35091216
cg04958799,0.101005713,0.1,LRP4,+,ENSG00000134569,61906,"Exon (uc001ndn.4/4038, exon 17 of 38)",TxEx3,PRC1,TRUE,chr11:46908057,chr2:91325937
cg05053358,0.006338547,0.0063,ZNF346,+,ENSG00000113761,58494,"Exon (uc003mfi.3/23567, exon 4 of 7)",TxEx2,None,TRUE,chr5:176471458,NA
cg05128975,0.129928054,0.13,TCERG1,+,ENSG00000113649,64197,"Exon (uc011dbt.2/10915, exon 5 of 11)",TxEx1,None,TRUE,chr5:145843162,NA
cg05151611,0.045912616,0.046,GRM5,-,ENSG00000168959,543497,"Exon (uc001pcq.3/2915, exon 8 of 9)",Acet2,None,TRUE,chr11:88258539,chr7:95264735
cg05265959,0.024808152,0.025,ARID4B,+,ENSG00000054267,161323,"Exon (uc021pks.1/51742, exon 17 of 24)",Tx7,None,TRUE,chr1:235377133,chr13:14262396
cg05326840,0.141998824,0.14,VCL,-,ENSG00000035403,124964,"Exon (uc010qky.1/7414, exon 18 of 19)",TxEx2,None,TRUE,chr10:75871803,chr14:21846441
cg05341636,-0.010739898,-0.011,DLL4,+,ENSG00000128917,9728,Promoter (3-4kb),BivProm1,PRC2,FALSE,chr15:41218262,chr2:119148349
cg05372644,-0.148437035,-0.15,TBX18,+,ENSG00000112837,76093,Distal Intergenic,EnhA2,None,TRUE,chr6:85256356,chr9:87451931
cg05388899,-0.048559145,-0.049,TLE4,+,ENSG00000106829,154779,5' UTR,TxEnh3,None,TRUE,chr9:82242351,chr19:14619289
cg05530690,0.306764263,0.31,FOXD3,+,ENSG00000187140,2068,Promoter (<=1kb),BivProm1,PRC2,FALSE,chr1:63789172,chr4:99323728
cg05543909,-0.05858118,-0.059,ZFHX3,+,ENSG00000140836,265489,3' UTR,EnhA5,None,TRUE,chr16:72820921,chr8:111481173
cg05613307,0.172675405,0.17,NA,+,NA,4443,Distal Intergenic,ReprPC1,PRC2,FALSE,chr4:1399123,chr5:33775677
cg05651663,0.023057597,0.023,FGF8,-,ENSG00000107831,5873,Distal Intergenic,EnhA19,None,TRUE,chr10:103509640,chr19:45792775
cg05664157,-0.322311012,-0.32,PRPF38B,+,ENSG00000134186,9491,"Intron (uc001dvv.4/55119, intron 1 of 5)",PromF3,None,TRUE,chr1:109236131,chr3:108713393
cg05678488,-0.04211417,-0.042,TMEM182,-,ENSG00000170417,19914,Distal Intergenic,BivProm3,None,TRUE,chr2:103909805,chr1:41332135
cg05708750,-0.258854246,-0.26,MIR99B,+,ENSG00000207550,70,Promoter (<=1kb),TxEnh7,None,TRUE,chr19:52195841,chr17:17967128
cg05850448,0.010678612,0.011,POU6F2,+,ENSG00000106536,486782,"Intron (uc003thb.2/11281, intron 6 of 10)",ReprPC3,None,TRUE,chr7:39414369,chr13:18296881
cg05874558,0.009390468,0.0094,RAB11A,+,ENSG00000103769,22533,"Exon (uc002apk.3/8766, exon 5 of 5)",TxEx1,None,TRUE,chr15:66180080,chr9:64564753
cg05899134,0.049776836,0.05,PDLIM5,+,ENSG00000163110,136363,"Exon (uc003htf.4/10611, exon 10 of 10)",Tx6,None,TRUE,chr4:95508186,chr3:141966338
cg05965853,0.028087712,0.028,OGA,-,ENSG00000198408,34023,"Intron (uc001ktu.2/10724, intron 2 of 6)",TxEx2,None,TRUE,chr10:103553455,chr19:45836462
cg06021159,-0.06390645,-0.064,MAN1A2,-,ENSG00000198162,158236,Promoter (<=1kb),PromF6,None,TRUE,chr1:117910998,chr3:100488592
cg06179749,-0.194945397,-0.19,PHC2,+,ENSG00000134686,106993,"Exon (uc001bxe.1/1912, exon 2 of 7)",TxEnh8,None,TRUE,chr1:33799703,chr4:128420787
cg06220792,0.003503838,0.0035,INVS,+,ENSG00000119509,201925,"Intron (uc010mta.3/27130, intron 3 of 14)",Acet2,None,TRUE,chr9:102930834,chr4:48348425
cg06236900,-0.457062034,-0.46,RAB8A,-,ENSG00000167461,15311,Promoter (<=1kb),PromF4,None,FALSE,chr19:16222716,chr8:74685262
cg06277783,-0.000908682,-0.00091,IQCH,-,ENSG00000103599,247005,"Exon (uc002aqo.2/64799, exon 15 of 21)",EnhA16,None,TRUE,chr15:67709322,chr9:63330440
cg06414428,-0.034595647,-0.035,IFIH1,-,ENSG00000115267,51630,"Intron (uc002uce.4/64135, intron 3 of 15)",EnhA5,None,TRUE,chr2:163157627,chr2:62468465
cg06419952,0.207491346,0.21,MED14,-,ENSG00000180182,86010,"Exon (uc004dex.4/9282, exon 17 of 31)",Tx6,None,TRUE,chr23:40542153,chr20:12283723
cg06487902,0.015723109,0.016,HPCAL1,+,ENSG00000115756,124714,"Exon (uc002raj.4/3241, exon 3 of 5)",TxEnh5,None,FALSE,chr2:10559958,NA
cg06510679,0.059124301,0.059,MAP3K3,+,ENSG00000198909,73896,3' UTR,TxEnh6,None,TRUE,chr17:61773600,NA
cg06540369,-0.010105274,-0.01,TUSC7,+,ENSG00000243197,7253,Distal Intergenic,EnhA6,None,TRUE,chr3:117470493,chr16:40234670
cg06571779,-0.019969985,-0.02,ADD3,-,ENSG00000148700,139216,"Exon (uc001kyt.4/120, exon 15 of 16)",Tx7,None,TRUE,chr10:111892132,chr19:53318869
cg06577299,-0.079884638,-0.08,TMEM229B,-,ENSG00000198133,61406,"Exon (uc001xjj.1/161145, exon 3 of 7)",TxWk2,None,FALSE,chr14:67940354,NA
cg06587088,-0.078533864,-0.079,SKOR1,+,ENSG00000188779,14133,Promoter (<=1kb),ReprPC1,PRC2,TRUE,chr15:68112477,chr9:62999977
cg06619360,-0.060133801,-0.06,HNRNPC,-,ENSG00000092199,60343,"Intron (uc001vzw.3/3183, intron 1 of 8)",TxEx4,None,TRUE,chr14:21731609,NA
cg06633079,-0.023197344,-0.023,SKOR1,-,ENSG00000188779,14133,Promoter (<=1kb),ReprPC1,PRC2,TRUE,chr15:68112499,chr9:62999955
cg06649032,-0.054612586,-0.055,AP3B1,+,ENSG00000132842,292430,"Intron (uc003kfj.4/8546, intron 24 of 26)",TxWk1,None,TRUE,chr5:77328400,chr13:95303666
cg06784824,0.010108091,0.01,SPI1,+,ENSG00000066336,23719,"Exon (uc001nfb.1/6688, exon 5 of 5)",TSS2,None,FALSE,chr11:47376985,chr2:90955343
cg06937549,-0.10562577,-0.11,HNRNPH1,-,ENSG00000169045,10492,"Exon (uc021yjd.1/3187, exon 4 of 12)",TxEx4,None,TRUE,chr5:179046350,chr11:50195018
cg07069368,-0.024071128,-0.024,SUPT3H,-,ENSG00000196284,568735,"Intron (uc003oxn.2/8464, intron 2 of 11)",EnhA5,None,TRUE,chr6:45294931,chr17:44952879
cg07087324,-0.338023243,-0.34,GABPB1,+,ENSG00000104064,78217,Promoter (<=1kb),PromF4,PRC2,FALSE,chr15:50647200,chr2:126501110
cg07094321,0.055499104,0.055,CDH23,-,ENSG00000107736,419014,"Intron (uc001jry.3/64072, intron 13 of 24)",EnhWk8,None,TRUE,chr10:73417603,chr10:59919784
cg07201657,-0.874756507,-0.87,PLEKHA5,-,ENSG00000052126,232015,"Exon (uc010sie.2/54477, exon 16 of 29)",TxWk1,None,TRUE,chr12:19467803,chr6:140512144
cg07306283,0.04176566,0.042,WDR59,-,ENSG00000103091,30774,"Intron (uc002fdf.1/79726, intron 1 of 8)",Tx5,None,TRUE,chr16:74933604,chr8:113996538
cg07369538,0.012768421,0.013,PBX1,-,ENSG00000185630,292464,"Intron (uc001gcs.3/5087, intron 2 of 7)",PromF1,None,TRUE,chr1:164620645,chr1:170272242
cg07497563,0.252715362,0.25,OGA,-,ENSG00000198408,34023,"Intron (uc001ktu.2/10724, intron 2 of 6)",TxEx2,None,TRUE,chr10:103553606,chr19:45836610
cg07803121,1.18E-05,1.20E-05,ADGRB2,-,ENSG00000121753,36931,"Exon (uc010ogp.2/576, exon 21 of 29)",Quies3,None,TRUE,chr1:32200828,chr4:129692232
cg07873121,-0.171775165,-0.17,BTRC,+,ENSG00000166167,125425,Distal Intergenic,BivProm1,PRC2,TRUE,chr10:103052243,chr19:45376521
cg07991667,0.000515315,0.00052,USP35,+,ENSG00000118369,21933,5' UTR,TxEnh5,None,FALSE,chr11:77907901,chr7:104473864
cg08049977,-0.054245608,-0.054,EBF1,+,ENSG00000164330,403866,"Intron (uc011ddw.2/1879, intron 8 of 13)",EnhWk3,None,TRUE,chr5:158167002,chr11:44777200
cg08073580,-0.255588947,-0.26,CNOT1,-,ENSG00000125107,109941,5' UTR,TxEx1,None,TRUE,chr16:58633277,chr8:98312667
cg08153906,0.006883951,0.0069,HDAC9,-,ENSG00000048052,501624,"Intron (uc003sue.3/9734, intron 19 of 25)",EnhA5,None,TRUE,chr7:18874760,chr12:34900735
cg08168552,0.021143452,0.021,FAF1,+,ENSG00000185104,519002,"Intron (uc010onc.1/11124, intron 5 of 11)",EnhA17,None,TRUE,chr1:51035916,chr4:109531680
cg08201223,0.000530245,0.00053,CADPS2,+,ENSG00000081803,303294,"Intron (uc003vkg.4/93664, intron 21 of 22)",EnhA18,None,TRUE,chr7:121968944,chr6:23222823
cg08215774,-0.052316983,-0.052,KCNC1,-,ENSG00000129159,47108,3' UTR,ReprPC4,None,TRUE,chr11:17803421,chr7:53692846
cg08305457,0.097214616,0.097,ZIC4,-,ENSG00000174963,6383,Distal Intergenic,ReprPC1,PRC2,TRUE,chr3:147098545,chr9:91289279
cg08354308,-0.014524966,-0.015,SRF,+,ENSG00000112658,10325,Promoter (<=1kb),PromF4,None,FALSE,chr6:43139860,chr17:46692323
cg08404227,-0.265476305,-0.27,SLCO3A1,-,ENSG00000176463,318728,Promoter (<=1kb),TSS1,None,FALSE,chr15:92397279,chr7:81699335
cg08538032,0.054832741,0.055,ELAVL4,+,ENSG00000162374,153855,"Intron (uc001cry.3/1996, intron 1 of 6)",BivProm3,None,TRUE,chr1:50574507,chr4:109960216
cg08574252,0.014581156,0.015,DPYD,+,ENSG00000188641,843316,"Intron (uc001drv.3/1806, intron 8 of 22)",EnhA20,None,TRUE,chr1:98069015,chr3:118590969
cg08575708,0.002802022,0.0028,EIF4G2,+,ENSG00000110321,10951,"Exon (uc001mjb.3/1982, exon 14 of 22)",TxEx1,None,TRUE,chr11:10823259,chr7:118219845
cg08582529,0.142389732,0.14,FRMD4A,+,ENSG00000151474,687161,"Exon (uc001ims.3/55691, exon 22 of 25)",TxEnh4,None,FALSE,chr10:13698640,chr2:4525292
cg08651129,0.011205745,0.011,TJP1,+,ENSG00000104067,122350,"Exon (uc010azl.3/7082, exon 18 of 27)",TxEx3,None,TRUE,chr15:30012910,chr7:72459893
cg08799387,-0.032291961,-0.032,DAZAP2,+,ENSG00000183283,5210,"Exon (uc001ryb.3/9802, exon 4 of 4)",TxEnh4,None,TRUE,chr12:51636189,chr15:100449874
cg08844333,0.169991095,0.17,PRPF38B,-,ENSG00000134186,9491,Promoter (<=1kb),PromF4,PRC1,TRUE,chr1:109235474,chr3:108714096
cg08899075,0.073466399,0.073,TRIO,-,ENSG00000038382,365630,"Exon (uc003jff.3/7204, exon 49 of 57)",TxEnh4,None,TRUE,chr5:14492723,chr15:27673907
cg08899884,-0.170580574,-0.17,EFNA3,+,ENSG00000143590,23802,"Exon (uc010pew.2/1944, exon 3 of 5)",PromF3,None,TRUE,chr1:155058356,chr3:89120053
cg08917841,0.002979175,0.003,OLIG1,-,ENSG00000184221,2279,Distal Intergenic,BivProm3,None,TRUE,chr21:34485747,chr16:91301962
cg09005051,-0.013142134,-0.013,MIR4475,+,ENSG00000266255,61,Distal Intergenic,ReprPC6,None,TRUE,chr9:36714133,chr4:44405729
cg09067976,-0.047132103,-0.047,PAX7,+,ENSG00000009709,117861,"Intron (uc001bay.3/5081, intron 4 of 7)",BivProm2,PRC2,FALSE,chr1:18973303,chr4:139374139
cg09101317,0.099668063,0.1,MSL1,-,ENSG00000188895,14256,"Exon (uc002hua.4/339287, exon 3 of 10)",TxEx1,None,TRUE,chr17:38282466,chr11:98660484
cg09108310,-0.084319938,-0.084,LINC-PINT,+,ENSG00000231721,164644,"Intron (uc003vqp.3/378805, intron 1 of 3)",PromF4,None,FALSE,chr7:130792078,chr6:31167659
cg09122966,0.557558211,0.56,COLCA1,+,ENSG00000196167,6426,"Exon (uc001pld.3/399948, exon 2 of 2)",ReprPC2,None,TRUE,chr11:111169043,chr9:51087949
cg09316860,-0.008517265,-0.0085,PEX14,-,ENSG00000142655,155813,"Intron (uc009vmu.1/5195, intron 3 of 4)",EnhA5,None,TRUE,chr1:10658837,chr4:148358729
cg09362148,0.099867988,0.1,ZC3H10,-,ENSG00000135482,4249,Promoter (<=1kb),PromF4,PRC1,FALSE,chr12:56512088,chr10:127984763
cg09504625,0.00738932,0.0074,NEPRO,+,ENSG00000163608,17264,Distal Intergenic,EnhA17,None,TRUE,chr3:112823578,chr16:44672440
cg09536021,0.42587831,0.43,MOSMO,-,ENSG00000185716,76517,"Exon (uc002dkd.2/730094, exon 2 of 3)",TxEnh8,None,TRUE,chr16:22086975,chr7:127869801
cg09733019,0.130007046,0.13,RNU6-16P,+,NA,30,Distal Intergenic,EnhA19,None,TRUE,chr7:25793221,chr6:51027481
cg09837345,-0.08581618,-0.086,PSME3,-,ENSG00000131467,19335,5' UTR,PromF4,None,FALSE,chr17:40985644,NA
cg09995750,0.018994968,0.019,MECP2,+,ENSG00000169057,75925,3' UTR,Tx8,None,TRUE,chr23:153294700,chr20:71279671
cg10006197,0.003600027,0.0036,TINAGL1,-,ENSG00000142910,11202,"Exon (uc001bta.3/64129, exon 5 of 12)",TxEnh7,None,TRUE,chr1:32049117,chr4:129846321
cg10106561,-0.247066226,-0.25,ADCY3,-,ENSG00000138031,100017,"Exon (uc002rfs.4/109, exon 13 of 21)",EnhA1,None,TRUE,chr2:25050913,chr12:4206481
cg10146038,3.52E-05,3.50E-05,ZFHX3,+,ENSG00000140836,265489,"Intron (uc002fck.3/463, intron 1 of 9)",Tx3,None,TRUE,chr16:73064383,NA
cg10146459,0.129761821,0.13,BCL6,-,ENSG00000113916,24349,"Intron (uc003frq.2/604, intron 1 of 9)",PromF4,None,FALSE,chr3:187461663,chr16:23987244
cg10194942,0.111031701,0.11,KDM2A,+,ENSG00000173120,138811,5' UTR,TxEx2,None,TRUE,chr11:66983346,chr19:4351810
cg10320446,-0.61390294,-0.61,LUZP6,+,ENSG00000267697,50702,Promoter (<=1kb),PromF4,None,FALSE,chr7:135661842,chr6:35489604
cg10372263,-0.018880648,-0.019,PAX2,-,ENSG00000075891,84231,"Intron (uc001krk.4/5076, intron 9 of 10)",ReprPC1,PRC2,TRUE,chr10:102585930,chr19:44909059
cg10411593,-0.016089235,-0.016,MIR138-2,-,ENSG00000207649,84,Promoter (<=1kb),EnhA7,None,TRUE,chr16:56892470,NA
cg10450039,0.072799774,0.073,POGZ,-,ENSG00000143442,56742,"Exon (uc021oyq.1/23126, exon 3 of 17)",TxEx1,None,TRUE,chr1:151402165,chr3:94666365
cg10648997,0.004465461,0.0045,NKAIN2,+,ENSG00000188580,1021718,"Exon (uc003pzo.3/154215, exon 5 of 7)",EnhWk4,None,TRUE,chr6:125112502,NA
cg10717922,-0.17991549,-0.18,MED12L,-,ENSG00000144893,73136,5' UTR,TSS1,PRC2,FALSE,chr3:150804751,chr3:58810961
cg10735971,-0.157209243,-0.16,CACNA1E,+,ENSG00000198216,323236,Promoter (<=1kb),BivProm2,PRC2,FALSE,chr1:181452841,chr1:156573088
cg10801485,0.071972353,0.072,ZEB2,-,ENSG00000169554,136017,"Intron (uc002tvu.3/9839, intron 2 of 9)",Tx3,None,TRUE,chr2:145223501,chr2:44913903
